Datum,Tid (UTC),Snödjup,Kvalitet
2022-01-03,06:00:00,0.0,G
2022-01-04,06:00:00,0.0,G
2022-01-05,06:00:00,0.01,G
2022-01-06,06:00:00,0.01,G
2022-01-07,06:00:00,0.01,G
2022-01-10,06:00:00,0.12,G
2022-01-12,06:00:00,0.0,G
2022-01-17,06:00:00,0.0,G
2022-01-18,06:00:00,0.0,G
2022-01-19,06:00:00,0.0,G
2022-01-20,06:00:00,0.04,G
2022-01-21,06:00:00,0.03,G
2022-01-22,06:00:00,0.0,G
2022-01-23,06:00:00,0.0,G
2022-01-24,06:00:00,0.0,G
2022-01-25,06:00:00,0.0,G
2022-01-26,06:00:00,0.0,G
2022-02-04,06:00:00,0.0,G
2022-02-13,06:00:00,0.0,G
2022-02-14,06:00:00,0.0,G
2022-02-15,06:00:00,0.0,G
2022-02-21,06:00:00,0.05,G
2022-02-22,06:00:00,0.07,G
2022-02-23,06:00:00,0.07,G
2022-03-07,06:00:00,0.0,G
2022-03-08,06:00:00,0.0,G
2022-03-09,06:00:00,0.0,G
2022-03-10,06:00:00,0.0,G
2022-03-11,06:00:00,0.0,G
2022-03-12,06:00:00,0.0,G
2022-03-13,06:00:00,0.0,G
2022-03-14,06:00:00,0.0,G
2022-03-15,06:00:00,0.0,G
2022-03-16,06:00:00,0.0,G
2022-03-17,06:00:00,0.0,G
2022-03-18,06:00:00,0.0,G
2022-03-19,06:00:00,0.0,G
2022-03-20,06:00:00,0.0,G
2022-03-21,06:00:00,0.0,G
2022-03-22,06:00:00,0.0,G
2022-03-23,06:00:00,0.0,G
2022-03-24,06:00:00,0.0,G
2022-03-25,06:00:00,0.0,G
2022-03-26,06:00:00,0.0,G
2022-03-27,06:00:00,0.0,G
2022-03-28,06:00:00,0.0,G
2022-03-29,06:00:00,0.0,G
2022-03-30,06:00:00,0.0,G
2022-03-31,06:00:00,0.0,G
2022-04-11,06:00:00,0.03,Y
2022-04-25,06:00:00,0.0,G
2022-04-26,06:00:00,0.0,G
2022-04-27,06:00:00,0.0,G
2022-04-28,06:00:00,0.0,G
2022-04-29,06:00:00,0.0,G
2022-05-12,06:00:00,0.0,G
2022-05-13,06:00:00,0.0,G
2022-05-14,06:00:00,0.0,G
2022-05-15,06:00:00,0.0,G
2022-05-16,06:00:00,0.0,G
2022-05-17,06:00:00,0.0,G
2022-05-18,06:00:00,0.0,G
2022-05-19,06:00:00,0.0,G
2022-05-20,06:00:00,0.0,G
2022-05-30,06:00:00,0.0,G
2022-05-31,06:00:00,0.0,G
2022-06-01,06:00:00,0.0,G
2022-06-02,06:00:00,0.0,G
2022-06-13,06:00:00,0.0,G
2022-06-14,06:00:00,0.0,G
2022-06-15,06:00:00,0.0,G
2022-06-16,06:00:00,0.0,G
2022-06-17,06:00:00,0.0,G
2022-06-18,06:00:00,0.0,G
2022-06-19,06:00:00,0.0,G
2022-06-20,06:00:00,0.0,G
2022-06-21,06:00:00,0.0,G
2022-07-04,06:00:00,0.0,G
2022-07-05,06:00:00,0.0,G
2022-07-06,06:00:00,0.0,G
2022-07-07,06:00:00,0.0,G
2022-07-08,06:00:00,0.0,G
2022-08-02,06:00:00,0.0,Y
2022-08-03,06:00:00,0.0,G
2022-08-04,06:00:00,0.0,G
2022-08-05,06:00:00,0.0,G
2022-08-06,06:00:00,0.0,G
2022-08-07,06:00:00,0.0,G
2022-08-08,06:00:00,0.0,G
2022-08-09,06:00:00,0.0,G
2022-08-22,06:00:00,0.0,G
2022-08-28,06:00:00,0.0,G
2022-08-29,06:00:00,0.0,G
2022-09-13,06:00:00,0.0,G
2022-09-19,06:00:00,0.0,G
2022-09-20,06:00:00,0.0,G
2022-09-21,06:00:00,0.0,G
2022-09-22,06:00:00,0.0,G
2022-09-23,06:00:00,0.0,G
2022-09-26,06:00:00,0.0,G
2022-09-27,06:00:00,0.0,G
2022-09-28,06:00:00,0.0,G
2022-09-29,06:00:00,0.0,G
2022-09-30,06:00:00,0.0,G
2022-10-01,06:00:00,0.0,G
2022-10-02,06:00:00,0.0,G
2022-10-03,06:00:00,0.0,G
2022-10-04,06:00:00,0.0,G
2022-10-05,06:00:00,0.0,G
2022-10-06,06:00:00,0.0,G
2022-10-07,06:00:00,0.0,G
2022-10-08,06:00:00,0.0,G
2022-10-09,06:00:00,0.0,G
2022-10-10,06:00:00,0.0,G
2022-10-11,06:00:00,0.0,G
2022-10-12,06:00:00,0.0,G
2022-10-13,06:00:00,0.0,G
2022-10-14,06:00:00,0.0,G
2022-10-15,06:00:00,0.0,Y
2022-10-16,06:00:00,0.0,Y
2022-10-17,06:00:00,0.0,G
2022-10-18,06:00:00,0.0,G
2022-10-19,06:00:00,0.0,Y
2022-10-20,06:00:00,0.0,Y
2022-10-21,06:00:00,0.0,Y
2022-10-22,06:00:00,0.0,Y
2022-10-23,06:00:00,0.0,Y
2022-10-24,06:00:00,0.0,G
2022-10-25,06:00:00,0.0,G
2022-10-26,06:00:00,0.0,G
2022-10-27,06:00:00,0.0,G
2022-10-28,06:00:00,0.0,G
2022-10-29,06:00:00,0.0,Y
2022-10-30,06:00:00,0.0,Y
2022-10-31,06:00:00,0.0,Y
2022-11-03,06:00:00,0.0,G
2022-11-07,06:00:00,0.0,G
2022-11-08,06:00:00,0.0,G
2022-11-09,06:00:00,0.0,G
2022-11-10,06:00:00,0.0,G
2022-11-11,06:00:00,0.0,G
2022-11-18,06:00:00,0.0,G
2022-11-29,06:00:00,0.0,G
2022-11-30,06:00:00,0.0,G
2022-12-01,06:00:00,0.0,G
2022-12-02,06:00:00,0.0,G
2022-12-03,06:00:00,0.0,G
2022-12-09,06:00:00,0.02,G
2022-12-14,06:00:00,0.02,G
2022-12-15,06:00:00,0.07,G
2022-12-19,06:00:00,0.03,G
2022-12-26,06:00:00,0.0,G
2022-12-29,06:00:00,0.01,G
2022-12-30,06:00:00,0.0,G
2022-12-31,06:00:00,0.0,G
2023-01-01,06:00:00,0.0,G
2023-01-02,06:00:00,0.0,G
2023-01-08,06:00:00,0.0,G
2023-01-09,06:00:00,0.0,G
2023-01-10,06:00:00,0.0,G
2023-01-11,06:00:00,0.0,G
2023-01-12,06:00:00,0.0,G
2023-01-13,06:00:00,0.0,G
2023-01-16,06:00:00,0.0,G
2023-01-18,06:00:00,0.0,G
2023-01-19,06:00:00,0.0,G
2023-01-20,06:00:00,0.0,G
2023-02-06,06:00:00,0.02,G
2023-02-07,06:00:00,0.02,G
2023-02-08,06:00:00,0.0,G
2023-02-09,06:00:00,0.0,G
2023-02-10,06:00:00,0.0,G
2023-02-11,06:00:00,0.0,G
2023-02-12,06:00:00,0.0,G
2023-02-13,06:00:00,0.0,G
2023-02-14,06:00:00,0.0,G
2023-02-15,06:00:00,0.0,G
2023-02-16,06:00:00,0.0,G
2023-02-17,06:00:00,0.0,G
2023-02-18,06:00:00,0.0,G
2023-02-19,06:00:00,0.0,G
2023-02-20,06:00:00,0.0,G
2023-02-21,06:00:00,0.0,G
2023-02-22,06:00:00,0.0,G
2023-02-23,06:00:00,0.02,G
2023-02-24,06:00:00,0.02,G
2023-02-27,06:00:00,0.0,G
2023-02-28,06:00:00,0.0,G
2023-03-01,06:00:00,0.0,G
2023-03-02,06:00:00,0.0,G
