Datum,Tid (UTC),Snödjup,Kvalitet
2022-01-10,06:00:00,0.28,G
2022-01-12,06:00:00,0.28,G
2022-01-24,06:00:00,0.3,G
2022-01-28,06:00:00,0.32,G
2022-01-31,06:00:00,0.36,G
2022-02-09,06:00:00,0.41,G
2022-02-10,06:00:00,0.41,G
2022-02-11,06:00:00,0.41,G
2022-02-14,06:00:00,0.44,G
2022-02-16,06:00:00,0.54,G
2022-02-22,06:00:00,0.45,G
2022-03-04,06:00:00,0.44,G
2022-03-18,06:00:00,0.44,G
2022-04-25,06:00:00,0.0,G
2022-05-02,06:00:00,0.0,G
2022-05-12,06:00:00,0.0,G
2022-05-16,06:00:00,0.0,G
2022-05-19,06:00:00,0.0,G
2022-05-23,06:00:00,0.0,G
2022-05-25,06:00:00,0.0,G
2022-05-27,06:00:00,0.0,G
2022-05-30,06:00:00,0.0,G
2022-06-13,06:00:00,0.0,G
