Datum,UV-irradiation
2022-10-16,79.8
2022-10-17,70.8
2022-10-18,79.9
2022-10-19,144.8
2022-10-20,141.8
2022-10-21,65.1
2022-10-22,-999.0
2022-10-23,63.4
2022-10-24,53.5
2022-10-25,64.3
2022-10-26,56.8
2022-10-27,61.8
2022-10-28,54.7
2022-10-29,77.7
2022-10-30,84.2
2022-10-31,70.1
2022-11-01,44.3
2022-11-02,45.0
2022-11-03,44.1
2022-11-04,33.6
2022-11-05,41.9
2022-11-06,30.7
2022-11-07,28.6
2022-11-08,27.9
2022-11-09,36.0
2022-11-10,38.2
2022-11-11,27.7
2022-11-12,49.7
2022-11-13,24.4
2022-11-14,25.5
2022-11-15,25.9
2022-11-16,28.2
2022-11-17,24.7
2022-11-18,24.5
2022-11-19,24.5
2022-11-20,17.2
2022-11-21,25.1
2022-11-22,25.4
2022-11-23,15.0
2022-11-24,14.8
2022-11-25,21.3
2022-11-26,18.0
2022-11-27,14.8
2022-11-28,15.8
2022-11-29,17.0
2022-11-30,12.8
2022-12-01,12.9
2022-12-02,14.4
2022-12-03,13.3
2022-12-04,10.8
2022-12-05,10.0
2022-12-06,11.8
2022-12-07,12.4
2022-12-08,10.2
2022-12-09,9.0
2022-12-10,8.4
2022-12-11,8.4
2022-12-12,9.0
2022-12-13,10.0
2022-12-14,12.7
2022-12-15,7.9
2022-12-16,16.7
2022-12-17,9.9
2022-12-18,9.2
2022-12-19,12.8
2022-12-20,10.2
2022-12-21,13.1
2022-12-22,8.9
2022-12-23,8.1
2022-12-24,12.8
2022-12-25,8.9
2022-12-26,7.6
2022-12-27,14.9
2022-12-28,7.9
2022-12-29,8.2
2022-12-30,10.1
2022-12-31,9.7
2023-01-01,10.5
2023-01-02,9.5
2023-01-03,13.1
2023-01-04,10.5
2023-01-05,14.6
2023-01-06,11.5
2023-01-07,12.2
2023-01-08,12.6
2023-01-09,11.2
2023-01-10,18.4
2023-01-11,14.6
2023-01-12,13.6
2023-01-13,15.6
2023-01-14,18.3
2023-01-15,18.9
2023-01-16,18.2
2023-01-17,12.0
2023-01-18,14.0
2023-01-19,15.1
2023-01-20,13.3
2023-01-21,16.4
2023-01-22,19.1
2023-01-23,19.3
2023-01-24,19.0
2023-01-25,19.5
2023-01-26,21.8
2023-01-27,33.1
2023-01-28,23.8
2023-01-29,28.3
2023-01-30,-999.0
2023-01-31,34.7
2023-02-01,26.4
2023-02-02,47.0
2023-02-03,28.0
2023-02-04,59.9
2023-02-05,27.6
2023-02-06,66.6
2023-02-07,40.4
2023-02-08,36.1
2023-02-09,35.1
2023-02-10,70.3
2023-02-11,79.0
2023-02-12,67.3
2023-02-13,90.8
2023-02-14,59.8
2023-02-15,56.6
2023-02-16,45.3
2023-02-17,48.4
2023-02-18,118.7
2023-02-19,97.2
2023-02-20,59.2
2023-02-21,95.7
2023-02-22,75.7
2023-02-23,46.1
2023-02-24,50.9
2023-02-25,58.7
2023-02-26,139.1
2023-02-27,140.3
2023-02-28,167.9
2023-03-01,156.7
2023-03-02,150.0
2023-03-03,94.4
2023-03-04,147.6
2023-03-05,141.0
2023-03-06,124.5
2023-03-07,65.3
2023-03-08,157.6
2023-03-09,117.4
2023-03-10,132.6
2023-03-11,219.1
2023-03-12,217.3
2023-03-13,118.1
2023-03-14,113.1
2023-03-15,186.4
2023-03-16,190.4
2023-03-17,130.9
2023-03-18,132.4
2023-03-19,109.8
2023-03-20,138.4
2023-03-21,168.3
2023-03-22,154.5
2023-03-23,185.3
2023-03-24,153.7
2023-03-25,168.4
2023-03-26,140.6
2023-03-27,219.2
2023-03-28,300.1
2023-03-29,154.9
2023-03-30,171.7
2023-03-31,187.6
2023-04-01,411.8
2023-04-02,385.2
2023-04-03,406.1
2023-04-04,297.3
2023-04-05,283.9
2023-04-06,233.5
2023-04-07,247.4
2023-04-08,305.8
2023-04-09,446.6
2023-04-10,416.5
2023-04-11,231.6
2023-04-12,335.7
2023-04-13,249.8
2023-04-14,199.6
2023-04-15,275.0
2023-04-16,499.0
2023-04-17,557.6
2023-04-18,551.0
2023-04-19,670.4
2023-04-20,681.8
2023-04-21,709.6
2023-04-22,722.9
2023-04-23,312.2
2023-04-24,312.3
2023-04-25,347.7
2023-04-26,364.1
2023-04-27,311.7
2023-04-28,507.3
2023-04-29,402.8
2023-04-30,609.4
2023-05-01,370.0
2023-05-02,627.3
2023-05-03,538.7
2023-05-04,686.4
2023-05-05,781.4
2023-05-06,769.1
2023-05-07,788.9
