Datum,Lufttemperatur,Kvalitet
2022-01-01,3.3,Y
2022-01-02,5.0,Y
2022-01-03,3.0,Y
2022-01-04,0.2,Y
2022-01-05,0.5,Y
2022-01-06,-3.9,Y
2022-01-07,-2.8,Y
2022-01-08,-1.0,Y
2022-01-09,-1.3,Y
2022-01-10,-0.7,Y
2022-01-11,-4.6,Y
2022-01-12,1.6,Y
2022-01-13,6.8,Y
2022-01-14,7.2,Y
2022-01-15,0.6,Y
2022-01-16,4.2,Y
2022-01-17,2.0,Y
2022-01-18,1.7,Y
2022-01-19,3.9,Y
2022-01-20,-0.4,Y
2022-01-21,-0.4,Y
2022-01-22,-3.1,Y
2022-01-23,0.1,Y
2022-01-24,5.3,Y
2022-01-25,0.7,Y
2022-01-26,2.3,Y
2022-01-27,5.0,Y
2022-01-28,1.2,Y
2022-01-29,4.5,Y
2022-01-30,3.4,Y
2022-01-31,-3.3,Y
2022-02-01,-3.9,Y
2022-02-02,-4.1,Y
2022-02-03,-1.9,Y
2022-02-04,4.1,Y
2022-02-05,2.7,Y
2022-02-06,3.4,Y
2022-02-07,1.2,Y
2022-02-08,3.7,Y
2022-02-09,3.9,Y
2022-02-10,3.0,Y
2022-02-11,-0.7,Y
2022-02-12,0.7,Y
2022-02-13,2.7,Y
2022-02-14,4.8,Y
2022-02-15,4.1,Y
2022-02-16,3.3,Y
2022-02-17,1.9,Y
2022-02-18,3.9,Y
2022-02-19,0.5,Y
2022-02-20,2.2,Y
2022-02-21,4.2,Y
2022-02-22,-1.5,Y
2022-02-23,0.8,Y
2022-02-24,5.4,Y
2022-02-25,2.5,Y
2022-02-26,-0.3,Y
2022-02-27,-1.3,Y
2022-02-28,-0.7,Y
2022-03-01,1.3,Y
2022-03-02,0.2,Y
2022-03-03,1.6,Y
2022-03-04,-0.8,Y
2022-03-05,-2.6,Y
2022-03-06,1.8,Y
2022-03-07,2.2,Y
2022-03-08,0.9,Y
2022-03-09,1.4,Y
2022-03-10,2.8,Y
2022-03-11,-0.5,Y
2022-03-12,-0.7,Y
2022-03-13,-0.8,Y
2022-03-14,0.3,Y
2022-03-15,1.9,Y
2022-03-16,0.4,Y
2022-03-17,2.8,Y
2022-03-18,6.8,Y
2022-03-19,4.3,Y
2022-03-20,1.9,Y
2022-03-21,2.6,Y
2022-03-22,4.4,Y
2022-03-23,5.9,Y
2022-03-24,8.5,Y
2022-03-25,10.0,Y
2022-03-26,7.5,Y
2022-03-27,6.6,Y
2022-03-28,9.9,Y
2022-03-29,2.4,Y
2022-03-30,-0.4,Y
2022-03-31,-1.0,Y
2022-04-01,-1.5,Y
2022-04-02,-0.6,Y
2022-04-03,1.9,Y
2022-04-04,3.2,Y
2022-04-05,2.5,Y
2022-04-06,0.5,Y
2022-04-07,5.3,Y
2022-04-08,2.4,Y
2022-04-09,2.7,Y
2022-04-10,6.1,Y
2022-04-11,5.9,Y
2022-04-12,5.3,Y
2022-04-13,3.7,Y
2022-04-14,6.8,Y
2022-04-15,5.2,Y
2022-04-16,5.5,Y
2022-04-17,8.3,Y
2022-04-18,7.3,Y
2022-04-19,7.7,Y
2022-04-20,7.9,Y
2022-04-21,8.9,Y
2022-04-22,8.7,Y
2022-04-23,7.4,Y
2022-04-24,6.8,Y
2022-04-25,7.7,Y
2022-04-26,6.4,Y
2022-04-27,6.6,Y
2022-04-28,8.2,Y
2022-04-29,6.7,Y
2022-04-30,8.9,Y
2022-05-01,8.7,Y
2022-05-02,10.8,Y
2022-05-03,9.0,Y
2022-05-04,7.2,Y
2022-05-05,10.7,Y
2022-05-06,12.8,Y
2022-05-07,11.4,Y
2022-05-08,8.7,Y
2022-05-09,9.9,Y
2022-05-10,11.7,Y
2022-05-11,14.0,Y
2022-05-12,12.9,Y
2022-05-13,12.0,Y
2022-05-14,13.7,Y
2022-05-15,12.3,Y
2022-05-16,9.4,Y
2022-05-17,8.8,Y
2022-05-18,12.1,Y
2022-05-19,18.1,Y
2022-05-20,14.6,Y
2022-05-21,9.2,Y
2022-05-22,10.9,Y
2022-05-23,10.6,Y
2022-05-24,11.5,Y
2022-05-25,14.8,Y
2022-05-26,13.2,Y
2022-05-27,12.2,Y
2022-05-28,10.1,Y
2022-05-29,12.1,Y
2022-05-30,11.0,Y
2022-05-31,12.4,Y
2022-06-01,12.0,Y
2022-06-02,14.0,Y
2022-06-03,13.7,Y
2022-06-04,15.0,Y
2022-06-05,18.5,Y
2022-06-06,15.8,Y
2022-06-07,14.8,Y
2022-06-08,16.3,Y
2022-06-09,15.9,Y
2022-06-10,17.6,Y
2022-06-11,17.8,Y
2022-06-12,15.7,Y
2022-06-13,14.2,Y
2022-06-14,15.1,Y
2022-06-15,16.6,Y
2022-06-16,17.9,Y
2022-06-17,18.9,Y
2022-06-18,18.8,Y
2022-06-19,15.9,Y
2022-06-20,15.1,Y
2022-06-21,17.7,Y
2022-06-22,18.2,Y
2022-06-23,19.4,Y
2022-06-24,20.8,Y
2022-06-25,20.7,Y
2022-06-26,21.9,Y
2022-06-27,23.2,Y
2022-06-28,21.6,Y
2022-06-29,19.7,Y
2022-06-30,20.2,Y
2022-07-01,22.3,Y
2022-07-02,19.9,Y
2022-07-03,18.6,Y
2022-07-04,18.4,Y
2022-07-05,17.4,Y
2022-07-06,17.6,Y
2022-07-07,14.9,Y
2022-07-08,17.4,Y
2022-07-09,17.4,Y
2022-07-10,15.4,Y
2022-07-11,16.0,Y
2022-07-12,19.8,Y
2022-07-13,20.9,Y
2022-07-14,17.6,Y
2022-07-15,16.6,Y
2022-07-16,14.9,Y
2022-07-17,17.7,Y
2022-07-18,19.6,Y
2022-07-19,21.1,Y
2022-07-20,22.2,Y
2022-07-21,24.3,Y
2022-07-22,22.9,Y
2022-07-23,17.6,Y
2022-07-24,19.5,Y
2022-07-25,21.1,Y
2022-07-26,19.1,Y
2022-07-27,15.7,Y
2022-07-28,17.4,Y
2022-07-29,16.9,Y
2022-07-30,17.0,Y
2022-07-31,17.0,Y
2022-08-01,18.2,Y
2022-08-02,18.4,Y
2022-08-03,23.2,Y
2022-08-04,23.6,Y
2022-08-05,20.1,Y
2022-08-06,16.2,Y
2022-08-07,15.4,Y
2022-08-08,16.9,Y
2022-08-09,17.6,Y
2022-08-10,20.3,Y
2022-08-11,22.4,Y
2022-08-12,22.4,Y
2022-08-13,20.9,Y
2022-08-14,19.7,Y
2022-08-15,20.9,Y
2022-08-16,21.8,Y
2022-08-17,22.6,Y
2022-08-18,21.4,Y
2022-08-19,21.6,Y
2022-08-20,22.1,Y
2022-08-21,20.1,Y
2022-08-22,17.5,Y
2022-08-23,17.8,Y
2022-08-24,18.1,Y
2022-08-25,17.5,Y
2022-08-26,19.1,Y
2022-08-27,20.9,Y
2022-08-28,19.7,Y
2022-08-29,14.5,Y
2022-08-30,14.6,Y
2022-08-31,14.5,Y
2022-09-01,13.3,Y
2022-09-02,13.0,Y
2022-09-03,12.1,Y
2022-09-04,13.5,Y
2022-09-05,12.3,Y
2022-09-06,11.2,Y
2022-09-07,12.9,Y
2022-09-08,13.7,Y
2022-09-09,15.4,Y
2022-09-10,15.0,Y
2022-09-11,15.6,Y
2022-09-12,13.9,Y
2022-09-13,14.3,Y
2022-09-14,15.2,Y
2022-09-15,12.5,Y
2022-09-16,12.6,Y
2022-09-17,12.6,Y
2022-09-18,12.8,Y
2022-09-19,12.0,Y
2022-09-20,11.4,Y
2022-09-21,9.1,Y
2022-09-22,8.6,Y
2022-09-23,11.0,Y
2022-09-24,10.4,Y
2022-09-25,11.2,Y
2022-09-26,11.1,Y
2022-09-27,14.0,Y
2022-09-28,13.4,Y
2022-09-29,11.2,Y
2022-09-30,8.4,Y
2022-10-01,10.9,Y
2022-10-02,11.5,Y
2022-10-03,11.6,Y
2022-10-04,11.6,Y
2022-10-05,14.9,Y
2022-10-06,13.9,Y
2022-10-07,13.2,Y
2022-10-08,11.6,Y
2022-10-09,7.9,Y
2022-10-10,8.2,Y
2022-10-11,8.8,Y
2022-10-12,6.6,Y
2022-10-13,10.3,Y
2022-10-14,9.3,Y
2022-10-15,12.5,Y
2022-10-16,12.1,Y
2022-10-17,10.9,Y
2022-10-18,11.3,Y
2022-10-19,5.0,Y
2022-10-20,3.4,Y
2022-10-21,7.4,Y
2022-10-22,9.7,Y
2022-10-23,10.3,Y
2022-10-24,10.6,Y
2022-10-25,11.5,Y
2022-10-26,11.3,Y
