Datum,Lufttemperatur,Kvalitet
2022-01-01,-1.3,Y
2022-01-02,0.5,Y
2022-01-03,1.2,Y
2022-01-04,0.9,Y
2022-01-05,-1.1,Y
2022-01-06,-2.2,Y
2022-01-07,-2.8,Y
2022-01-08,-1.0,Y
2022-01-09,0.1,Y
2022-01-10,-2.2,Y
2022-01-11,-1.5,Y
2022-01-12,1.8,Y
2022-01-13,5.1,Y
2022-01-14,3.0,Y
2022-01-15,0.8,Y
2022-01-16,1.6,Y
2022-01-17,1.4,Y
2022-01-18,1.0,Y
2022-01-19,3.7,Y
2022-01-20,0.5,Y
2022-01-21,-0.1,Y
2022-01-22,-1.4,Y
2022-01-23,-0.4,Y
2022-01-24,2.1,Y
2022-01-25,0.6,Y
2022-01-26,0.5,Y
2022-01-27,0.3,Y
2022-01-28,0.7,Y
2022-01-29,1.3,Y
2022-01-30,-0.2,Y
2022-01-31,-1.9,Y
2022-02-01,-3.1,Y
2022-02-02,-3.4,Y
2022-02-03,-3.8,Y
2022-02-04,1.7,Y
2022-02-05,0.5,Y
2022-02-06,1.1,Y
2022-02-07,-0.5,Y
2022-02-08,0.2,Y
2022-02-09,2.0,Y
2022-02-10,1.1,Y
2022-02-11,-0.6,Y
2022-02-12,1.0,Y
2022-02-13,2.1,Y
2022-02-14,1.2,Y
2022-02-15,3.2,Y
2022-02-16,1.6,Y
2022-02-17,-0.4,Y
2022-02-18,-0.9,Y
2022-02-19,-0.5,Y
2022-02-20,-1.5,Y
2022-02-21,-0.6,Y
2022-02-22,-2.9,Y
2022-02-23,-2.1,Y
2022-02-24,2.9,Y
2022-02-25,0.9,Y
2022-02-26,0.5,Y
2022-02-27,3.3,Y
2022-02-28,1.2,Y
2022-03-01,1.9,Y
2022-03-02,2.0,Y
2022-03-03,0.9,Y
2022-03-04,0.5,Y
2022-03-05,0.8,Y
2022-03-06,1.8,Y
2022-03-07,1.8,Y
2022-03-08,1.5,Y
2022-03-09,0.3,Y
2022-03-10,1.9,Y
2022-03-11,2.3,Y
2022-03-12,3.5,Y
2022-03-13,5.0,Y
2022-03-14,4.8,Y
2022-03-15,2.4,Y
2022-03-16,3.1,Y
2022-03-17,4.1,Y
2022-03-18,3.6,Y
2022-03-19,4.8,Y
2022-03-20,8.4,Y
2022-03-21,5.6,Y
2022-03-22,4.7,Y
2022-03-23,4.2,Y
2022-03-24,6.6,Y
2022-03-25,6.4,Y
2022-03-26,2.7,Y
2022-03-27,2.7,Y
2022-03-28,3.4,Y
2022-03-29,-2.3,Y
2022-03-30,-0.7,Y
2022-03-31,0.2,Y
2022-04-01,-0.8,Y
2022-04-02,0.5,Y
2022-04-03,2.6,Y
