Datum,Lufttemperatur,Kvalitet
2022-01-01,-5.2,Y
2022-01-02,-0.5,Y
2022-01-03,2.2,Y
2022-01-04,-1.7,Y
2022-01-05,-4.5,Y
2022-01-06,-14.9,Y
2022-01-07,-9.9,Y
2022-01-08,-3.8,Y
2022-01-09,-3.5,Y
2022-01-10,-3.6,Y
2022-01-11,-0.8,Y
2022-01-12,0.7,Y
2022-01-13,3.5,Y
2022-01-14,2.0,Y
2022-01-15,-5.1,Y
2022-01-16,0.2,Y
2022-01-17,-0.6,Y
2022-01-18,-5.8,Y
2022-01-19,-0.7,Y
2022-01-20,-3.8,Y
2022-01-21,-8.1,Y
2022-01-22,-7.6,Y
2022-01-23,-5.3,Y
2022-01-24,-0.7,Y
2022-01-25,-9.2,Y
2022-01-26,-2.5,Y
2022-01-27,0.5,Y
2022-01-28,-1.7,Y
2022-01-29,2.6,Y
2022-01-30,1.0,Y
2022-01-31,-9.6,Y
2022-02-01,-6.6,Y
2022-02-02,-7.7,Y
2022-02-03,-6.3,Y
2022-02-04,0.9,Y
2022-02-05,-3.7,Y
2022-02-06,-0.6,Y
2022-02-07,-6.5,Y
2022-02-08,-0.2,Y
2022-02-09,0.6,Y
2022-02-10,-1.5,Y
2022-02-11,-6.7,Y
2022-02-12,-2.6,Y
2022-02-13,2.5,Y
2022-02-14,1.0,Y
2022-02-15,1.9,Y
2022-02-16,0.7,Y
2022-02-17,-1.0,Y
2022-02-18,-5.1,Y
2022-02-19,-4.2,Y
2022-02-20,-7.5,Y
2022-02-21,-2.4,Y
2022-02-22,-8.7,Y
2022-02-23,-1.1,Y
2022-02-24,1.3,Y
2022-02-25,-0.6,Y
2022-02-26,-4.7,Y
2022-02-27,1.1,Y
2022-02-28,-0.9,Y
2022-03-01,0.2,Y
2022-03-02,-1.3,Y
2022-03-03,-3.8,Y
2022-03-04,-5.1,Y
2022-03-05,-5.5,Y
2022-03-06,-3.4,Y
2022-03-07,-0.1,Y
2022-03-08,-3.6,Y
2022-03-09,-3.8,Y
2022-03-10,-4.2,Y
2022-03-11,-0.5,Y
2022-03-12,-3.1,Y
2022-03-13,-2.1,Y
2022-03-14,-0.7,Y
2022-03-15,-1.4,Y
2022-03-16,-1.4,Y
2022-03-17,0.2,Y
2022-03-18,2.8,Y
2022-03-19,-0.4,Y
2022-03-20,2.4,Y
2022-03-21,-0.8,Y
2022-03-22,0.7,Y
2022-03-23,0.8,Y
2022-03-24,2.4,Y
2022-03-25,5.4,Y
2022-03-26,4.2,Y
2022-03-27,2.3,Y
2022-03-28,5.4,Y
2022-03-29,-2.1,Y
2022-03-30,-4.6,Y
2022-03-31,-4.1,Y
2022-04-01,-3.3,Y
2022-04-02,-2.7,Y
2022-04-03,-0.9,Y
2022-04-04,-0.3,Y
2022-04-05,-3.1,Y
2022-04-06,-3.2,Y
2022-04-07,-1.5,Y
2022-04-08,-2.5,Y
2022-04-09,-1.3,Y
2022-04-10,4.3,Y
2022-04-11,1.2,Y
2022-04-12,0.9,Y
2022-04-13,1.4,Y
2022-04-14,3.4,Y
2022-04-15,4.2,Y
2022-04-16,6.0,Y
2022-04-17,6.8,Y
2022-04-18,6.9,Y
2022-04-19,9.1,Y
2022-04-20,9.0,Y
2022-04-21,10.0,Y
2022-04-22,8.6,Y
2022-04-23,6.0,Y
2022-04-24,6.1,Y
2022-04-25,6.8,Y
2022-04-26,4.9,Y
2022-04-27,3.5,Y
2022-04-28,5.4,Y
2022-04-29,5.1,Y
