Datum,Lufttemperatur,Kvalitet
2022-01-01,-0.4,Y
2022-01-02,2.9,Y
2022-01-03,4.7,Y
2022-01-04,0.9,Y
2022-01-05,-2.9,Y
2022-01-06,-6.7,Y
2022-01-07,-4.7,Y
2022-01-08,-1.1,Y
2022-01-09,-1.4,Y
2022-01-10,-2.6,Y
2022-01-11,-2.8,Y
2022-01-12,2.2,Y
2022-01-13,5.5,Y
2022-01-14,3.7,Y
2022-01-15,-0.8,Y
2022-01-16,2.5,Y
2022-01-17,0.6,Y
2022-01-18,0.1,Y
2022-01-19,3.3,Y
2022-01-20,-3.1,Y
2022-01-21,-3.1,Y
2022-01-22,-4.9,Y
2022-01-23,-0.1,Y
2022-01-24,3.5,Y
2022-01-25,-0.1,Y
2022-01-26,2.8,Y
2022-01-27,3.0,Y
2022-01-28,-0.6,Y
2022-01-29,3.4,Y
2022-01-30,1.0,Y
2022-01-31,-5.8,Y
2022-02-01,-6.5,Y
2022-02-02,-5.8,Y
2022-02-03,-4.7,Y
2022-02-04,1.0,Y
2022-02-05,1.4,Y
2022-02-06,1.2,Y
2022-02-07,-0.8,Y
2022-02-08,2.5,Y
2022-02-09,2.8,Y
2022-02-10,2.1,Y
2022-02-11,-2.0,Y
2022-02-12,1.0,Y
2022-02-13,1.3,Y
2022-02-14,2.2,Y
2022-02-15,2.4,Y
2022-02-16,1.4,Y
2022-02-17,-0.1,Y
2022-02-18,1.3,Y
2022-02-19,-0.7,Y
2022-02-20,-1.6,Y
2022-02-21,-1.1,Y
2022-02-22,-5.7,Y
2022-02-23,-0.8,Y
2022-02-24,2.7,Y
2022-02-25,0.7,Y
2022-02-26,-1.8,Y
2022-02-27,1.9,Y
2022-02-28,0.9,Y
2022-03-01,0.8,Y
2022-03-02,1.4,Y
2022-03-03,0.5,Y
2022-03-04,-1.1,Y
2022-03-05,-0.4,Y
2022-03-06,-0.3,Y
2022-03-07,1.9,Y
2022-03-08,-0.7,Y
2022-03-09,2.5,Y
2022-03-10,0.6,Y
2022-03-11,1.5,Y
2022-03-12,3.3,Y
2022-03-13,4.5,Y
2022-03-14,3.3,Y
2022-03-15,1.0,Y
2022-03-16,2.9,Y
2022-03-17,0.8,Y
2022-03-18,4.6,Y
2022-03-19,5.0,Y
2022-03-20,6.5,Y
2022-03-21,5.0,Y
2022-03-22,4.2,Y
2022-03-23,3.4,Y
2022-03-24,6.2,Y
2022-03-25,8.0,Y
2022-03-26,4.6,Y
2022-03-27,5.2,Y
2022-03-28,7.0,Y
2022-03-29,-0.4,Y
2022-03-30,-1.8,Y
2022-03-31,-1.1,Y
2022-04-01,-1.9,Y
2022-04-02,-1.0,Y
2022-04-03,1.6,Y
2022-04-04,1.8,Y
2022-04-05,-1.7,Y
2022-04-06,0.1,Y
2022-04-07,-0.5,Y
2022-04-08,-2.1,Y
2022-04-09,-0.7,Y
2022-04-10,3.7,Y
2022-04-11,3.3,Y
2022-04-12,5.1,Y
2022-04-13,4.2,Y
2022-04-14,4.3,Y
2022-04-15,4.3,Y
2022-04-16,7.2,Y
2022-04-17,8.1,Y
2022-04-18,9.0,Y
2022-04-19,11.0,Y
2022-04-20,10.7,Y
2022-04-21,10.6,Y
2022-04-22,9.8,Y
2022-04-23,6.8,Y
2022-04-24,5.5,Y
2022-04-25,6.6,Y
2022-04-26,7.5,Y
2022-04-27,4.6,Y
2022-04-28,7.2,Y
2022-04-29,7.1,Y
2022-04-30,7.6,Y
2022-05-01,9.1,Y
2022-05-02,9.6,Y
2022-05-03,8.0,Y
2022-05-04,9.3,Y
2022-05-05,10.2,Y
2022-05-06,10.6,Y
2022-05-07,10.2,Y
2022-05-08,8.9,Y
2022-05-09,11.0,Y
2022-05-10,11.2,Y
2022-05-11,9.9,Y
2022-05-12,10.2,Y
2022-05-13,9.7,Y
2022-05-14,10.9,Y
2022-05-15,11.4,Y
2022-05-16,10.2,Y
2022-05-17,9.5,Y
2022-05-18,12.5,Y
2022-05-19,15.6,Y
2022-05-20,11.5,Y
2022-05-21,8.8,Y
2022-05-22,11.1,Y
2022-05-23,12.9,Y
2022-05-24,12.0,Y
2022-05-25,12.5,Y
2022-05-26,9.5,Y
2022-05-27,9.6,Y
2022-05-28,9.7,Y
2022-05-29,10.9,Y
2022-05-30,10.7,Y
2022-05-31,10.6,Y
2022-06-01,12.9,Y
2022-06-02,12.9,Y
2022-06-03,13.1,Y
2022-06-04,15.0,Y
2022-06-05,16.8,Y
2022-06-06,14.5,Y
2022-06-07,13.7,Y
2022-06-08,13.6,Y
2022-06-09,15.3,Y
2022-06-10,14.6,Y
2022-06-11,15.5,Y
2022-06-12,13.9,Y
2022-06-13,14.2,Y
2022-06-14,13.8,Y
2022-06-15,15.2,Y
2022-06-16,14.5,Y
2022-06-17,16.5,Y
2022-06-18,16.0,Y
2022-06-19,14.2,Y
2022-06-20,13.6,Y
2022-06-21,16.8,Y
