Datum,Lufttemperatur,Kvalitet
2022-01-01,-3.3,Y
2022-01-02,0.4,Y
2022-01-03,2.3,Y
2022-01-04,-1.3,Y
2022-01-05,-4.4,Y
2022-01-06,-10.6,Y
2022-01-07,-11.9,Y
2022-01-08,-4.9,Y
2022-01-09,-3.6,Y
2022-01-10,-4.0,Y
2022-01-11,-2.0,Y
2022-01-12,0.6,Y
2022-01-13,3.7,Y
2022-01-14,1.5,Y
2022-01-15,-3.5,Y
2022-01-16,0.6,Y
2022-01-17,-1.1,Y
2022-01-18,-2.4,Y
2022-01-19,1.4,Y
2022-01-20,-3.5,Y
2022-01-21,-7.6,Y
2022-01-22,-6.6,Y
2022-01-23,-3.7,Y
2022-01-24,0.7,Y
2022-01-25,-6.4,Y
2022-01-26,-0.6,Y
2022-01-27,0.2,Y
2022-01-28,-2.2,Y
2022-01-29,2.1,Y
2022-01-30,-0.1,Y
2022-01-31,-9.5,Y
2022-02-01,-7.8,Y
2022-02-02,-8.7,Y
2022-02-03,-7.5,Y
2022-02-04,0.2,Y
2022-02-05,-2.5,Y
2022-02-06,-1.3,Y
2022-02-07,-4.4,Y
2022-02-08,-0.3,Y
2022-02-09,0.7,Y
2022-02-10,-1.4,Y
2022-02-11,-6.1,Y
2022-02-12,-2.6,Y
2022-02-13,1.6,Y
2022-02-14,0.6,Y
2022-02-15,1.0,Y
2022-02-16,0.3,Y
2022-02-17,-2.2,Y
2022-02-18,-4.5,Y
2022-02-19,-4.1,Y
2022-02-20,-6.6,Y
2022-02-21,-2.9,Y
2022-02-22,-7.3,Y
2022-02-23,-2.0,Y
2022-02-24,0.8,Y
2022-02-25,-0.5,Y
2022-02-26,-5.3,Y
2022-02-27,1.6,Y
2022-02-28,-1.2,Y
2022-03-01,-0.2,Y
2022-03-02,-0.6,Y
2022-03-03,-3.0,Y
2022-03-04,-6.4,Y
2022-03-05,-5.1,Y
2022-03-06,-4.0,Y
2022-03-07,1.2,Y
2022-03-08,-4.0,Y
2022-03-09,-4.0,Y
2022-03-10,-2.9,Y
2022-03-11,-1.1,Y
2022-03-12,-4.3,Y
2022-03-13,-2.7,Y
2022-03-14,-1.3,Y
2022-03-15,-2.4,Y
2022-03-16,-0.9,Y
2022-03-17,-2.0,Y
2022-03-18,2.8,Y
2022-03-19,0.8,Y
2022-03-20,3.7,Y
2022-03-21,0.1,Y
2022-03-22,-0.0,Y
2022-03-23,2.6,Y
2022-03-24,4.4,Y
2022-03-25,5.0,Y
2022-03-26,2.2,Y
2022-03-27,2.6,Y
2022-03-28,4.6,Y
2022-03-29,-2.4,Y
2022-03-30,-5.1,Y
2022-03-31,-3.8,Y
2022-04-01,-3.1,Y
2022-04-02,-2.8,Y
2022-04-03,-0.9,Y
2022-04-04,-1.0,Y
2022-04-05,-3.7,Y
2022-04-06,-2.6,Y
2022-04-07,-2.8,Y
2022-04-08,-3.3,Y
2022-04-09,-2.4,Y
2022-04-10,2.8,Y
2022-04-11,0.8,Y
2022-04-12,0.8,Y
2022-04-13,0.9,Y
2022-04-14,2.5,Y
2022-04-15,3.6,Y
2022-04-16,5.1,Y
2022-04-17,8.1,Y
2022-04-18,8.0,Y
2022-04-19,8.8,Y
2022-04-20,8.1,Y
2022-04-21,9.1,Y
2022-04-22,7.6,Y
2022-04-23,5.1,Y
2022-04-24,5.1,Y
2022-04-25,6.4,Y
2022-04-26,5.0,Y
2022-04-27,2.9,Y
2022-04-28,5.0,Y
2022-04-29,4.4,Y
2022-04-30,5.0,Y
2022-05-01,7.4,Y
2022-05-02,7.4,Y
2022-05-03,4.5,Y
2022-05-04,5.9,Y
2022-05-05,7.7,Y
2022-05-06,8.4,Y
2022-05-07,9.2,Y
2022-05-08,5.8,Y
2022-05-09,8.7,Y
2022-05-10,9.9,Y
2022-05-11,8.9,Y
2022-05-12,10.2,Y
2022-05-13,8.6,Y
2022-05-14,10.6,Y
2022-05-15,8.8,Y
2022-05-16,8.4,Y
2022-05-17,8.8,Y
2022-05-18,10.5,Y
2022-05-19,14.5,Y
2022-05-20,10.9,Y
2022-05-21,9.8,Y
2022-05-22,10.1,Y
2022-05-23,11.2,Y
2022-05-24,11.8,Y
2022-05-25,11.4,Y
2022-05-26,9.1,Y
2022-05-27,7.6,Y
2022-05-28,9.7,Y
2022-05-29,10.0,Y
2022-05-30,12.0,Y
2022-05-31,10.7,Y
2022-06-01,11.9,Y
2022-06-02,9.8,Y
2022-06-03,10.5,Y
2022-06-04,13.4,Y
2022-06-05,13.8,Y
2022-06-06,16.1,Y
2022-06-07,14.1,Y
2022-06-08,13.4,Y
2022-06-09,15.1,Y
2022-06-10,15.2,Y
2022-06-11,14.5,Y
2022-06-12,13.4,Y
2022-06-13,13.1,Y
2022-06-14,14.9,Y
2022-06-15,14.0,Y
2022-06-16,15.1,Y
2022-06-17,15.6,Y
2022-06-18,15.4,Y
2022-06-19,13.4,Y
2022-06-20,14.4,Y
2022-06-21,14.6,Y
2022-06-22,13.8,Y
2022-06-23,17.8,Y
2022-06-24,19.4,Y
2022-06-25,22.1,Y
2022-06-26,22.7,Y
2022-06-27,23.4,Y
2022-06-28,18.6,Y
2022-06-29,18.7,Y
2022-06-30,19.2,Y
2022-07-01,20.6,Y
2022-07-02,17.8,Y
2022-07-03,14.8,Y
2022-07-04,14.2,Y
2022-07-05,14.6,Y
2022-07-06,15.2,Y
2022-07-07,15.0,Y
2022-07-08,12.9,Y
2022-07-09,14.1,Y
2022-07-10,13.0,Y
2022-07-11,15.5,Y
2022-07-12,17.1,Y
2022-07-13,16.2,Y
2022-07-14,12.3,Y
2022-07-15,10.6,Y
2022-07-16,12.6,Y
2022-07-17,12.5,Y
2022-07-18,14.8,Y
2022-07-19,17.8,Y
2022-07-20,21.5,Y
2022-07-21,23.5,Y
2022-07-22,15.2,Y
2022-07-23,15.0,Y
2022-07-24,14.5,Y
