Datum,Lufttemperatur,Kvalitet
2022-01-01,-11.9,Y
2022-01-02,-2.4,Y
2022-01-03,-0.1,Y
2022-01-04,-7.2,Y
2022-01-05,-9.6,Y
2022-01-06,-20.6,Y
2022-01-07,-13.2,Y
2022-01-08,-6.5,Y
2022-01-09,-4.9,Y
2022-01-10,-5.3,Y
2022-01-11,-0.5,Y
2022-01-12,-1.7,Y
2022-01-13,1.6,Y
2022-01-14,-0.8,Y
2022-01-15,-7.7,Y
2022-01-16,-11.5,Y
2022-01-17,-6.0,Y
2022-01-18,-9.8,Y
2022-01-19,-2.6,Y
2022-01-20,-3.6,Y
2022-01-21,-6.0,Y
2022-01-22,-5.0,Y
2022-01-23,-9.2,Y
2022-01-24,-9.0,Y
2022-01-25,-14.5,Y
2022-01-26,-11.3,Y
2022-01-27,-2.6,Y
2022-01-28,-5.5,Y
2022-01-29,1.9,Y
2022-01-30,-0.2,Y
2022-01-31,-12.5,Y
2022-02-01,-11.8,Y
2022-02-02,-7.3,Y
2022-02-03,-8.6,Y
2022-02-04,-1.5,Y
2022-02-05,-6.5,Y
2022-02-06,-5.6,Y
2022-02-07,-10.1,Y
2022-02-08,-3.8,Y
2022-02-09,-0.8,Y
2022-02-10,-4.0,Y
2022-02-11,-12.8,Y
2022-02-12,-1.9,Y
2022-02-13,3.0,Y
2022-02-14,-0.0,Y
2022-02-15,-0.6,Y
2022-02-16,-0.0,Y
2022-02-17,-3.1,Y
2022-02-18,-10.6,Y
2022-02-19,-12.4,Y
2022-02-20,-12.9,Y
2022-02-21,-3.3,Y
2022-02-22,-8.7,Y
2022-02-23,-0.3,Y
2022-02-24,0.3,Y
2022-02-25,-4.4,Y
2022-02-26,-6.3,Y
2022-02-27,0.9,Y
2022-02-28,0.4,Y
2022-03-01,2.9,Y
2022-03-02,-1.8,Y
2022-03-03,-5.3,Y
2022-03-04,-7.2,Y
2022-03-05,-6.1,Y
2022-03-06,-6.4,Y
2022-03-07,-0.7,Y
2022-03-08,-6.3,Y
2022-03-09,-7.1,Y
2022-03-10,-5.8,Y
