Datum,Lufttemperatur,Kvalitet
2022-01-01,-2.4,Y
2022-01-02,0.9,Y
2022-01-03,2.8,Y
2022-01-04,-0.7,Y
2022-01-05,-4.1,Y
2022-01-06,-9.0,Y
2022-01-07,-10.2,Y
2022-01-08,-4.4,Y
2022-01-09,-3.0,Y
2022-01-10,-3.6,Y
2022-01-11,-2.0,Y
2022-01-12,0.9,Y
2022-01-13,4.3,Y
2022-01-14,2.4,Y
2022-01-15,-2.5,Y
2022-01-16,0.9,Y
2022-01-17,-0.4,Y
2022-01-18,-2.1,Y
2022-01-19,2.5,Y
2022-01-20,-3.0,Y
2022-01-21,-3.8,Y
2022-01-22,-5.2,Y
2022-01-23,-2.7,Y
2022-01-24,1.4,Y
2022-01-25,-3.6,Y
2022-01-26,0.2,Y
2022-01-27,0.1,Y
2022-01-28,-1.9,Y
2022-01-29,2.6,Y
2022-01-30,0.5,Y
2022-01-31,-7.6,Y
2022-02-01,-7.5,Y
2022-02-02,-8.2,Y
2022-02-03,-6.9,Y
2022-02-04,0.4,Y
2022-02-05,-1.9,Y
2022-02-06,-0.3,Y
2022-02-07,-2.5,Y
2022-02-08,1.6,Y
2022-02-09,1.7,Y
2022-02-10,-0.2,Y
2022-02-11,-3.8,Y
2022-02-12,0.0,Y
2022-02-13,1.7,Y
2022-02-14,0.8,Y
2022-02-15,1.2,Y
2022-02-16,0.1,Y
2022-02-17,-2.2,Y
2022-02-18,-3.0,Y
2022-02-19,-2.5,Y
2022-02-20,-5.4,Y
2022-02-21,-2.5,Y
2022-02-22,-6.1,Y
2022-02-23,-1.9,Y
2022-02-24,1.6,Y
2022-02-25,-0.6,Y
2022-02-26,-2.6,Y
2022-02-27,1.6,Y
2022-02-28,-1.5,Y
2022-03-01,-0.4,Y
2022-03-02,1.0,Y
2022-03-03,-0.8,Y
2022-03-04,-3.6,Y
2022-03-05,-3.6,Y
2022-03-06,-0.7,Y
2022-03-07,2.2,Y
2022-03-08,-1.1,Y
2022-03-09,-0.9,Y
2022-03-10,-0.9,Y
2022-03-11,-0.2,Y
2022-03-12,-1.1,Y
2022-03-13,-0.5,Y
2022-03-14,0.5,Y
2022-03-15,-0.3,Y
2022-03-16,0.5,Y
2022-03-17,-0.8,Y
2022-03-18,2.4,Y
2022-03-19,1.6,Y
2022-03-20,4.0,Y
2022-03-21,1.2,Y
2022-03-22,1.2,Y
2022-03-23,3.3,Y
2022-03-24,4.7,Y
2022-03-25,7.0,Y
2022-03-26,3.7,Y
2022-03-27,2.5,Y
2022-03-28,5.2,Y
2022-03-29,-2.1,Y
2022-03-30,-3.8,Y
2022-03-31,-3.6,Y
2022-04-01,-2.8,Y
2022-04-02,-2.6,Y
2022-04-03,0.5,Y
2022-04-04,-0.4,Y
