Datum,Lufttemperatur,Kvalitet
2022-01-01,1.3,Y
2022-01-02,6.4,Y
2022-01-03,5.9,Y
2022-01-04,1.6,Y
2022-01-05,-1.6,Y
2022-01-06,-6.5,Y
2022-01-07,-1.0,Y
2022-01-08,-0.4,Y
2022-01-09,-0.1,Y
2022-01-10,-1.2,Y
2022-01-11,-0.7,Y
2022-01-12,4.1,Y
2022-01-13,6.6,Y
2022-01-14,4.1,Y
2022-01-15,-1.2,Y
2022-01-16,3.9,Y
2022-01-17,0.5,Y
2022-01-18,1.1,Y
2022-01-19,5.0,Y
2022-01-20,-1.7,Y
2022-01-21,-0.3,Y
2022-01-22,-1.0,Y
2022-01-23,2.7,Y
2022-01-24,5.0,Y
2022-01-25,0.1,Y
2022-01-26,4.3,Y
2022-01-27,5.4,Y
2022-01-28,1.7,Y
2022-01-29,5.7,Y
2022-01-30,3.4,Y
2022-01-31,-4.0,Y
2022-02-01,-2.2,Y
2022-02-02,-3.7,Y
2022-02-03,-0.9,Y
2022-02-04,3.2,Y
2022-02-05,2.1,Y
2022-02-06,1.7,Y
2022-02-07,0.6,Y
2022-02-08,4.4,Y
2022-02-09,4.2,Y
2022-02-10,3.1,Y
2022-02-11,-0.2,Y
2022-02-12,2.0,Y
2022-02-13,2.4,Y
2022-02-14,4.1,Y
2022-02-15,3.8,Y
2022-02-16,2.5,Y
2022-02-17,1.6,Y
2022-02-18,2.9,Y
2022-02-19,0.7,Y
2022-02-20,-1.2,Y
2022-02-21,-0.2,Y
2022-02-22,-2.7,Y
2022-02-23,2.1,Y
2022-02-24,2.4,Y
2022-02-25,2.4,Y
2022-02-26,-0.4,Y
2022-02-27,1.2,Y
2022-02-28,2.4,Y
2022-03-01,1.9,Y
2022-03-02,3.1,Y
2022-03-03,0.1,Y
2022-03-04,-1.7,Y
2022-03-05,-1.5,Y
2022-03-06,0.3,Y
2022-03-07,1.9,Y
2022-03-08,-1.3,Y
2022-03-09,-0.1,Y
2022-03-10,0.3,Y
2022-03-11,0.8,Y
2022-03-12,2.6,Y
2022-03-13,3.6,Y
2022-03-14,4.0,Y
2022-03-15,1.7,Y
2022-03-16,3.2,Y
2022-03-17,2.4,Y
2022-03-18,6.4,Y
2022-03-19,3.4,Y
2022-03-20,3.6,Y
2022-03-21,3.2,Y
2022-03-22,3.4,Y
2022-03-23,3.9,Y
2022-03-24,5.2,Y
2022-03-25,7.5,Y
2022-03-26,5.4,Y
2022-03-27,6.8,Y
2022-03-28,7.3,Y
2022-03-29,1.6,Y
2022-03-30,-2.0,Y
2022-03-31,-0.8,Y
2022-04-01,-2.3,Y
2022-04-02,-1.1,Y
2022-04-03,2.1,Y
2022-04-04,2.2,Y
2022-04-05,1.1,Y
2022-04-06,-0.9,Y
2022-04-07,1.4,Y
2022-04-08,0.5,Y
2022-04-09,3.0,Y
2022-04-10,5.3,Y
2022-04-11,4.6,Y
2022-04-12,4.8,Y
2022-04-13,6.4,Y
2022-04-14,6.6,Y
2022-04-15,6.5,Y
2022-04-16,5.6,Y
2022-04-17,7.5,Y
2022-04-18,8.0,Y
2022-04-19,10.3,Y
2022-04-20,10.5,Y
2022-04-21,11.3,Y
2022-04-22,10.3,Y
2022-04-23,9.6,Y
2022-04-24,7.4,Y
2022-04-25,7.7,Y
2022-04-26,7.7,Y
2022-04-27,6.0,Y
2022-04-28,8.6,Y
2022-04-29,7.2,Y
2022-04-30,8.5,Y
2022-05-01,9.0,Y
2022-05-02,9.6,Y
2022-05-03,8.7,Y
2022-05-04,8.5,Y
2022-05-05,8.9,Y
2022-05-06,10.3,Y
2022-05-07,12.9,Y
2022-05-08,9.7,Y
2022-05-09,10.6,Y
2022-05-10,12.3,Y
2022-05-11,10.6,Y
2022-05-12,10.5,Y
2022-05-13,10.4,Y
2022-05-14,12.0,Y
2022-05-15,12.6,Y
2022-05-16,10.8,Y
2022-05-17,9.9,Y
2022-05-18,13.0,Y
2022-05-19,15.3,Y
2022-05-20,13.8,Y
2022-05-21,10.3,Y
2022-05-22,11.5,Y
2022-05-23,13.4,Y
2022-05-24,12.1,Y
2022-05-25,12.0,Y
2022-05-26,11.4,Y
2022-05-27,9.7,Y
2022-05-28,11.4,Y
2022-05-29,11.4,Y
2022-05-30,12.0,Y
2022-05-31,13.1,Y
2022-06-01,12.5,Y
2022-06-02,10.9,Y
2022-06-03,14.0,Y
2022-06-04,15.3,Y
2022-06-05,16.6,Y
2022-06-06,16.0,Y
2022-06-07,15.0,Y
2022-06-08,12.9,Y
2022-06-09,15.7,Y
2022-06-10,15.2,Y
2022-06-11,15.9,Y
2022-06-12,13.8,Y
2022-06-13,14.2,Y
2022-06-14,16.1,Y
2022-06-15,15.7,Y
2022-06-16,16.3,Y
2022-06-17,15.4,Y
2022-06-18,15.9,Y
2022-06-19,14.5,Y
2022-06-20,14.5,Y
2022-06-21,14.6,Y
2022-06-22,14.7,Y
2022-06-23,15.5,Y
2022-06-24,19.8,Y
2022-06-25,22.4,Y
2022-06-26,22.0,Y
2022-06-27,22.2,Y
2022-06-28,17.4,Y
2022-06-29,17.6,Y
2022-06-30,19.5,Y
2022-07-01,22.6,Y
2022-07-02,16.8,Y
2022-07-03,15.3,Y
2022-07-04,15.7,Y
2022-07-05,13.8,Y
2022-07-06,15.0,Y
2022-07-07,16.8,Y
2022-07-08,17.2,Y
2022-07-09,16.7,Y
2022-07-10,16.1,Y
2022-07-11,17.1,Y
2022-07-12,16.4,Y
2022-07-13,18.4,Y
2022-07-14,15.0,Y
2022-07-15,14.8,Y
2022-07-16,15.6,Y
2022-07-17,16.4,Y
2022-07-18,17.8,Y
2022-07-19,20.2,Y
2022-07-20,22.7,Y
2022-07-21,25.2,Y
2022-07-22,18.9,Y
2022-07-23,16.1,Y
2022-07-24,15.7,Y
2022-07-25,17.4,Y
2022-07-26,15.2,Y
2022-07-27,16.2,Y
2022-07-28,16.0,Y
2022-07-29,16.0,Y
2022-07-30,17.3,Y
2022-07-31,18.4,Y
2022-08-01,17.8,Y
2022-08-02,15.3,Y
2022-08-03,18.0,Y
2022-08-04,19.0,Y
2022-08-05,15.7,Y
2022-08-06,15.1,Y
2022-08-07,13.9,Y
2022-08-08,16.4,Y
2022-08-09,15.0,Y
2022-08-10,18.0,Y
2022-08-11,19.8,Y
2022-08-12,20.7,Y
2022-08-13,19.5,Y
2022-08-14,21.1,Y
2022-08-15,20.5,Y
2022-08-16,20.1,Y
2022-08-17,20.3,Y
2022-08-18,18.8,Y
2022-08-19,19.7,Y
2022-08-20,18.3,Y
2022-08-21,15.8,Y
2022-08-22,15.3,Y
2022-08-23,14.0,Y
2022-08-24,16.8,Y
2022-08-25,17.2,Y
2022-08-26,17.7,Y
2022-08-27,17.1,Y
2022-08-28,15.1,Y
2022-08-29,13.5,Y
2022-08-30,12.0,Y
2022-08-31,12.0,Y
2022-09-01,12.4,Y
2022-09-02,11.5,Y
2022-09-03,12.0,Y
2022-09-04,14.3,Y
2022-09-05,12.6,Y
2022-09-06,12.1,Y
2022-09-07,11.3,Y
2022-09-08,11.9,Y
2022-09-09,12.2,Y
2022-09-10,14.0,Y
2022-09-11,13.6,Y
2022-09-12,12.6,Y
2022-09-13,13.7,Y
2022-09-14,13.5,Y
2022-09-15,11.5,Y
2022-09-16,11.8,Y
2022-09-17,10.6,Y
2022-09-18,10.4,Y
2022-09-19,10.5,Y
2022-09-20,8.9,Y
2022-09-21,7.4,Y
2022-09-22,9.2,Y
2022-09-23,10.9,Y
2022-09-24,11.6,Y
2022-09-25,11.1,Y
2022-09-26,10.0,Y
2022-09-27,11.3,Y
2022-09-28,12.3,Y
2022-09-29,9.7,Y
2022-09-30,6.8,Y
2022-10-01,9.9,Y
2022-10-02,10.0,Y
2022-10-03,8.6,Y
2022-10-04,10.7,Y
2022-10-05,13.8,Y
2022-10-06,11.3,Y
2022-10-07,13.4,Y
2022-10-08,9.5,Y
2022-10-09,8.1,Y
2022-10-10,11.0,Y
2022-10-11,7.9,Y
2022-10-12,7.2,Y
2022-10-13,10.4,Y
2022-10-14,9.4,Y
2022-10-15,10.6,Y
2022-10-16,9.1,Y
2022-10-17,8.7,Y
2022-10-18,10.3,Y
2022-10-19,3.1,Y
2022-10-20,4.1,Y
2022-10-21,6.0,Y
2022-10-22,8.5,Y
2022-10-23,10.1,Y
2022-10-24,10.3,Y
2022-10-25,11.7,Y
2022-10-26,10.0,Y
2022-10-27,13.0,Y
2022-10-28,13.5,Y
2022-10-29,11.4,Y
2022-10-30,10.8,Y
2022-10-31,11.8,Y
2022-11-01,10.1,Y
2022-11-02,10.2,Y
2022-11-03,9.1,Y
2022-11-04,9.5,Y
2022-11-05,8.7,Y
2022-11-06,9.5,Y
2022-11-07,8.9,Y
2022-11-08,10.8,Y
2022-11-09,10.6,Y
2022-11-10,9.7,Y
2022-11-11,13.0,Y
2022-11-12,12.0,Y
2022-11-13,10.9,Y
2022-11-14,8.4,Y
2022-11-15,7.0,Y
2022-11-16,4.6,Y
2022-11-17,2.9,Y
2022-11-18,1.5,Y
2022-11-19,0.8,Y
2022-11-20,-0.3,Y
2022-11-21,-1.2,Y
2022-11-22,-0.9,Y
2022-11-23,2.3,Y
2022-11-24,3.3,Y
2022-11-25,3.3,Y
2022-11-26,4.2,Y
2022-11-27,5.3,Y
2022-11-28,4.5,Y
2022-11-29,3.0,Y
2022-11-30,1.6,Y
2022-12-01,1.6,Y
2022-12-02,2.0,Y
2022-12-03,-1.1,Y
2022-12-04,-1.0,Y
2022-12-05,-0.8,Y
2022-12-06,-3.4,Y
2022-12-07,-4.9,Y
2022-12-08,-6.1,Y
2022-12-09,-3.2,Y
2022-12-10,-7.7,Y
2022-12-11,-7.7,Y
2022-12-12,-5.3,Y
2022-12-13,-8.0,Y
2022-12-14,-3.5,Y
2022-12-15,-11.3,Y
2022-12-16,-11.0,Y
2022-12-17,-1.1,Y
