Datum,Lufttemperatur,Kvalitet
2022-01-01,-7.8,Y
2022-01-02,-1.2,Y
2022-01-03,2.0,Y
2022-01-04,-1.4,Y
2022-01-05,-3.8,Y
2022-01-06,-14.6,Y
2022-01-07,-10.5,Y
2022-01-08,-4.7,Y
2022-01-09,-3.3,Y
2022-01-10,-3.3,Y
2022-01-11,-0.3,Y
2022-01-12,-0.3,Y
2022-01-13,4.2,Y
2022-01-14,2.6,Y
2022-01-15,-5.8,Y
2022-01-16,-1.0,Y
2022-01-17,-0.4,Y
2022-01-18,-5.9,Y
2022-01-19,0.8,Y
2022-01-20,-3.0,Y
2022-01-21,-5.0,Y
2022-01-22,-4.6,Y
2022-01-23,-6.1,Y
2022-01-24,-4.3,Y
2022-01-25,-9.1,Y
2022-01-26,-4.2,Y
2022-01-27,1.5,Y
2022-01-28,-1.2,Y
2022-01-29,3.3,Y
2022-01-30,0.9,Y
2022-01-31,-7.9,Y
2022-02-01,-7.2,Y
2022-02-02,-6.6,Y
2022-02-03,-7.2,Y
2022-02-04,1.0,Y
2022-02-05,-0.9,Y
2022-02-06,-0.6,Y
2022-02-07,-4.6,Y
2022-02-08,1.5,Y
2022-02-09,2.1,Y
2022-02-10,0.0,Y
2022-02-11,-5.5,Y
2022-02-12,1.1,Y
2022-02-13,4.0,Y
2022-02-14,1.7,Y
2022-02-15,2.4,Y
2022-02-16,1.0,Y
2022-02-17,-1.3,Y
2022-02-18,-3.5,Y
2022-02-19,-4.4,Y
2022-02-20,-6.1,Y
2022-02-21,-3.2,Y
2022-02-22,-7.4,Y
2022-02-23,0.2,Y
2022-02-24,2.3,Y
2022-02-25,-2.0,Y
2022-02-26,-3.0,Y
2022-02-27,3.6,Y
2022-02-28,1.6,Y
2022-03-01,2.3,Y
2022-03-02,1.7,Y
2022-03-03,-1.9,Y
2022-03-04,-3.9,Y
2022-03-05,-4.1,Y
2022-03-06,-2.5,Y
2022-03-07,1.4,Y
2022-03-08,-3.1,Y
2022-03-09,-3.3,Y
2022-03-10,-2.9,Y
2022-03-11,0.5,Y
2022-03-12,-3.0,Y
2022-03-13,-2.7,Y
2022-03-14,-1.7,Y
2022-03-15,-1.7,Y
2022-03-16,-1.1,Y
2022-03-17,1.7,Y
2022-03-18,3.1,Y
2022-03-19,0.9,Y
2022-03-20,2.4,Y
2022-03-21,0.0,Y
2022-03-22,0.5,Y
2022-03-23,1.6,Y
2022-03-24,3.9,Y
2022-03-25,6.8,Y
2022-03-26,3.9,Y
2022-03-27,4.5,Y
2022-03-28,6.8,Y
2022-03-29,-1.1,Y
2022-03-30,-4.5,Y
2022-03-31,-2.8,Y
2022-04-01,-3.7,Y
2022-04-02,-2.4,Y
2022-04-03,-0.4,Y
2022-04-04,-0.1,Y
2022-04-05,-3.1,Y
2022-04-06,-2.4,Y
2022-04-07,-0.9,Y
2022-04-08,-0.9,Y
2022-04-09,1.9,Y
2022-04-10,5.6,Y
2022-04-11,2.1,Y
2022-04-12,2.2,Y
2022-04-13,1.6,Y
2022-04-14,3.9,Y
2022-04-15,4.5,Y
2022-04-16,5.9,Y
2022-04-17,6.1,Y
2022-04-18,6.8,Y
2022-04-19,8.1,Y
2022-04-20,9.6,Y
2022-04-21,9.7,Y
2022-04-22,9.4,Y
2022-04-23,5.7,Y
2022-04-24,7.0,Y
2022-04-25,6.9,Y
2022-04-26,4.7,Y
2022-04-27,4.3,Y
2022-04-28,5.7,Y
2022-04-29,5.9,Y
2022-04-30,6.8,Y
2022-05-01,8.4,Y
2022-05-02,8.3,Y
2022-05-03,4.8,Y
2022-05-04,6.6,Y
2022-05-05,10.8,Y
2022-05-06,10.0,Y
2022-05-07,11.6,Y
2022-05-08,6.1,Y
2022-05-09,8.8,Y
2022-05-10,10.8,Y
2022-05-11,9.7,Y
2022-05-12,10.3,Y
2022-05-13,8.9,Y
2022-05-14,11.1,Y
2022-05-15,9.4,Y
2022-05-16,9.0,Y
2022-05-17,9.4,Y
2022-05-18,8.9,Y
2022-05-19,14.6,Y
2022-05-20,12.2,Y
2022-05-21,11.9,Y
2022-05-22,10.6,Y
2022-05-23,10.8,Y
2022-05-24,11.1,Y
2022-05-25,12.8,Y
2022-05-26,10.6,Y
2022-05-27,8.1,Y
2022-05-28,10.6,Y
2022-05-29,7.6,Y
2022-05-30,13.4,Y
2022-05-31,11.6,Y
2022-06-01,11.0,Y
2022-06-02,11.6,Y
2022-06-03,10.9,Y
2022-06-04,13.6,Y
2022-06-05,14.6,Y
2022-06-06,17.2,Y
2022-06-07,15.3,Y
2022-06-08,13.8,Y
2022-06-09,15.2,Y
2022-06-10,15.3,Y
2022-06-11,15.4,Y
2022-06-12,13.4,Y
2022-06-13,13.5,Y
2022-06-14,14.5,Y
2022-06-15,14.3,Y
2022-06-16,15.8,Y
2022-06-17,14.7,Y
2022-06-18,16.4,Y
2022-06-19,13.0,Y
2022-06-20,15.7,Y
2022-06-21,14.3,Y
2022-06-22,15.9,Y
2022-06-23,19.2,Y
2022-06-24,20.6,Y
2022-06-25,21.1,Y
2022-06-26,22.1,Y
2022-06-27,20.3,Y
2022-06-28,18.7,Y
2022-06-29,18.0,Y
2022-06-30,20.0,Y
2022-07-01,21.1,Y
2022-07-02,17.7,Y
2022-07-03,15.6,Y
2022-07-04,15.2,Y
2022-07-05,15.4,Y
2022-07-06,14.7,Y
2022-07-07,16.9,Y
2022-07-08,15.6,Y
2022-07-09,14.2,Y
2022-07-10,14.9,Y
2022-07-11,16.0,Y
2022-07-12,16.4,Y
2022-07-13,16.9,Y
2022-07-14,11.9,Y
2022-07-15,11.5,Y
2022-07-16,13.8,Y
2022-07-17,13.2,Y
2022-07-18,16.0,Y
2022-07-19,18.4,Y
2022-07-20,21.2,Y
2022-07-21,21.4,Y
2022-07-22,15.9,Y
2022-07-23,15.5,Y
2022-07-24,13.8,Y
2022-07-25,16.3,Y
2022-07-26,15.2,Y
2022-07-27,15.1,Y
2022-07-28,14.4,Y
2022-07-29,15.1,Y
2022-07-30,15.8,Y
2022-07-31,14.7,Y
2022-08-01,17.0,Y
2022-08-02,11.5,Y
2022-08-03,17.5,Y
2022-08-04,16.9,Y
2022-08-05,16.2,Y
2022-08-06,14.1,Y
2022-08-07,12.5,Y
2022-08-08,14.0,Y
2022-08-09,14.5,Y
2022-08-10,18.9,Y
2022-08-11,19.4,Y
2022-08-12,17.9,Y
2022-08-13,18.1,Y
2022-08-14,17.7,Y
2022-08-15,20.2,Y
2022-08-16,19.8,Y
2022-08-17,20.4,Y
2022-08-18,17.3,Y
2022-08-19,20.9,Y
2022-08-20,19.4,Y
2022-08-21,14.4,Y
2022-08-22,12.3,Y
2022-08-23,12.4,Y
2022-08-24,13.7,Y
2022-08-25,15.5,Y
2022-08-26,12.8,Y
2022-08-27,17.8,Y
2022-08-28,15.5,Y
2022-08-29,10.4,Y
2022-08-30,9.0,Y
2022-08-31,10.3,Y
2022-09-01,10.2,Y
2022-09-02,8.6,Y
2022-09-03,11.7,Y
2022-09-04,11.3,Y
2022-09-05,11.7,Y
2022-09-06,11.7,Y
2022-09-07,10.8,Y
2022-09-08,9.8,Y
2022-09-09,11.6,Y
2022-09-10,11.8,Y
2022-09-11,12.4,Y
2022-09-12,11.3,Y
2022-09-13,12.3,Y
2022-09-14,10.8,Y
2022-09-15,10.6,Y
2022-09-16,10.1,Y
2022-09-17,9.2,Y
2022-09-18,8.7,Y
2022-09-19,7.7,Y
2022-09-20,7.2,Y
2022-09-21,5.6,Y
2022-09-22,8.2,Y
2022-09-23,12.1,Y
2022-09-24,11.9,Y
2022-09-25,9.9,Y
2022-09-26,7.9,Y
2022-09-27,11.3,Y
2022-09-28,11.0,Y
2022-09-29,7.7,Y
2022-09-30,6.6,Y
2022-10-01,10.0,Y
2022-10-02,8.7,Y
2022-10-03,6.1,Y
2022-10-04,7.0,Y
2022-10-05,13.2,Y
2022-10-06,10.7,Y
2022-10-07,11.3,Y
2022-10-08,6.9,Y
2022-10-09,5.7,Y
2022-10-10,10.5,Y
2022-10-11,3.3,Y
2022-10-12,3.8,Y
2022-10-13,9.5,Y
2022-10-14,7.6,Y
2022-10-15,8.1,Y
2022-10-16,8.1,Y
2022-10-17,4.6,Y
2022-10-18,5.3,Y
2022-10-19,0.5,Y
2022-10-20,0.0,Y
2022-10-21,2.3,Y
2022-10-22,4.0,Y
2022-10-23,0.4,Y
2022-10-24,5.6,Y
2022-10-25,7.9,Y
2022-10-26,6.6,Y
2022-10-27,10.7,Y
2022-10-28,11.5,Y
2022-10-29,8.6,Y
2022-10-30,2.1,Y
2022-10-31,7.8,Y
2022-11-01,8.9,Y
2022-11-02,9.8,Y
2022-11-03,7.7,Y
2022-11-04,8.2,Y
2022-11-05,8.3,Y
2022-11-06,7.1,Y
2022-11-07,7.7,Y
2022-11-08,5.2,Y
2022-11-09,9.5,Y
2022-11-10,8.3,Y
2022-11-11,13.3,Y
2022-11-12,7.6,Y
2022-11-13,2.0,Y
2022-11-14,5.1,Y
2022-11-15,1.7,Y
2022-11-16,1.3,Y
2022-11-17,0.2,Y
2022-11-18,0.2,Y
2022-11-19,-1.1,Y
2022-11-20,-2.0,Y
2022-11-21,-1.5,Y
2022-11-22,-0.5,Y
2022-11-23,0.4,Y
2022-11-24,0.8,Y
2022-11-25,0.9,Y
2022-11-26,0.9,Y
2022-11-27,0.7,Y
2022-11-28,1.4,Y
2022-11-29,1.1,Y
2022-11-30,0.5,Y
2022-12-01,0.4,Y
