Datum,Lufttemperatur,Kvalitet
2022-01-01,-0.3,Y
2022-01-02,4.0,Y
2022-01-03,4.7,Y
2022-01-04,1.0,Y
2022-01-05,-2.6,Y
2022-01-06,-7.2,Y
2022-01-07,-7.5,Y
2022-01-08,-2.4,Y
2022-01-09,-1.5,Y
2022-01-10,-1.9,Y
2022-01-11,-1.9,Y
2022-01-12,2.4,Y
2022-01-13,5.3,Y
2022-01-14,2.9,Y
2022-01-15,-1.4,Y
2022-01-16,3.1,Y
2022-01-17,0.5,Y
2022-01-18,-0.1,Y
2022-01-19,4.0,Y
2022-01-20,-2.4,Y
2022-01-21,-3.1,Y
2022-01-22,-4.1,Y
2022-01-23,1.0,Y
2022-01-24,3.3,Y
2022-01-25,-1.3,Y
2022-01-26,2.0,Y
2022-01-27,3.1,Y
2022-01-28,-0.8,Y
2022-01-29,3.2,Y
2022-01-30,0.7,Y
2022-01-31,-5.4,Y
2022-02-01,-5.5,Y
2022-02-02,-5.5,Y
2022-02-03,-4.4,Y
2022-02-04,1.7,Y
2022-02-05,0.8,Y
2022-02-06,1.1,Y
2022-02-07,-1.5,Y
2022-02-08,3.0,Y
2022-02-09,2.5,Y
2022-02-10,1.8,Y
2022-02-11,-2.6,Y
2022-02-12,1.2,Y
2022-02-13,2.2,Y
2022-02-14,2.6,Y
2022-02-15,2.8,Y
2022-02-16,1.6,Y
2022-02-17,-0.3,Y
2022-02-18,0.5,Y
2022-02-19,-0.6,Y
2022-02-20,-2.6,Y
2022-02-21,-0.8,Y
2022-02-22,-5.0,Y
2022-02-23,-1.9,Y
2022-02-24,1.8,Y
2022-02-25,1.1,Y
2022-02-26,-1.7,Y
2022-02-27,0.9,Y
2022-02-28,0.0,Y
2022-03-01,0.5,Y
2022-03-02,0.9,Y
2022-03-03,-0.3,Y
2022-03-04,-3.2,Y
2022-03-05,-2.9,Y
2022-03-06,-0.3,Y
2022-03-07,1.7,Y
2022-03-08,-1.3,Y
2022-03-09,-1.1,Y
2022-03-10,-0.0,Y
2022-03-11,-1.4,Y
2022-03-12,-0.0,Y
2022-03-13,0.5,Y
2022-03-14,2.2,Y
2022-03-15,-0.6,Y
2022-03-16,-0.8,Y
2022-03-17,0.9,Y
2022-03-18,4.1,Y
2022-03-19,2.9,Y
2022-03-20,3.4,Y
2022-03-21,2.4,Y
2022-03-22,1.8,Y
2022-03-23,2.4,Y
2022-03-24,4.7,Y
2022-03-25,6.6,Y
2022-03-26,4.4,Y
2022-03-27,4.5,Y
2022-03-28,6.2,Y
2022-03-29,-0.7,Y
2022-03-30,-2.2,Y
2022-03-31,-1.9,Y
2022-04-01,-2.0,Y
2022-04-02,-1.8,Y
2022-04-03,1.5,Y
2022-04-04,1.4,Y
2022-04-05,-1.2,Y
2022-04-06,0.9,Y
2022-04-07,-0.4,Y
2022-04-08,-2.2,Y
2022-04-09,-0.6,Y
2022-04-10,3.2,Y
2022-04-11,3.0,Y
