Datum,Lufttemperatur,Kvalitet
2022-01-01,1.5,Y
2022-01-02,6.4,Y
2022-01-03,6.5,Y
2022-01-04,2.1,Y
2022-01-05,-0.5,Y
2022-01-06,-3.3,Y
2022-01-07,-1.9,Y
2022-01-08,0.5,Y
2022-01-09,1.2,Y
2022-01-10,-0.6,Y
2022-01-11,-1.3,Y
2022-01-12,4.0,Y
2022-01-13,7.2,Y
2022-01-14,4.9,Y
2022-01-15,0.5,Y
2022-01-16,4.1,Y
2022-01-17,2.3,Y
2022-01-18,1.4,Y
2022-01-19,5.2,Y
2022-01-20,0.2,Y
2022-01-21,0.1,Y
2022-01-22,-2.1,Y
2022-01-23,2.2,Y
2022-01-24,5.4,Y
2022-01-25,0.6,Y
2022-01-26,4.3,Y
2022-01-27,4.6,Y
2022-01-28,1.5,Y
2022-01-29,5.4,Y
2022-01-30,3.5,Y
2022-01-31,-2.1,Y
2022-02-01,-2.7,Y
2022-02-02,-3.3,Y
2022-02-03,-2.0,Y
2022-02-04,3.2,Y
2022-02-05,2.6,Y
2022-02-06,2.0,Y
2022-02-07,1.5,Y
2022-02-08,4.5,Y
2022-02-09,4.5,Y
2022-02-10,3.5,Y
2022-02-11,0.2,Y
2022-02-12,3.1,Y
2022-02-13,3.3,Y
2022-02-14,4.1,Y
2022-02-15,4.5,Y
2022-02-16,3.6,Y
2022-02-17,1.6,Y
2022-02-18,3.4,Y
2022-02-19,0.9,Y
2022-02-20,-0.1,Y
2022-02-21,0.5,Y
2022-02-22,-2.3,Y
2022-02-23,1.7,Y
2022-02-24,3.7,Y
2022-02-25,2.4,Y
2022-02-26,1.0,Y
2022-02-27,2.6,Y
2022-02-28,2.2,Y
2022-03-01,1.9,Y
2022-03-02,2.4,Y
2022-03-03,1.6,Y
2022-03-04,-0.8,Y
2022-03-05,-0.5,Y
2022-03-06,1.1,Y
2022-03-07,3.4,Y
2022-03-08,-0.6,Y
2022-03-09,0.1,Y
2022-03-10,1.2,Y
2022-03-11,1.3,Y
2022-03-12,3.5,Y
2022-03-13,5.2,Y
2022-03-14,4.7,Y
2022-03-15,3.1,Y
2022-03-16,1.3,Y
2022-03-17,2.4,Y
2022-03-18,5.6,Y
2022-03-19,4.6,Y
2022-03-20,4.2,Y
2022-03-21,5.7,Y
2022-03-22,3.9,Y
2022-03-23,4.8,Y
2022-03-24,6.8,Y
2022-03-25,8.9,Y
2022-03-26,6.1,Y
2022-03-27,7.3,Y
2022-03-28,7.5,Y
2022-03-29,1.7,Y
2022-03-30,-0.6,Y
2022-03-31,-0.5,Y
2022-04-01,-0.8,Y
2022-04-02,-0.1,Y
2022-04-03,2.5,Y
2022-04-04,3.4,Y
2022-04-05,1.8,Y
2022-04-06,1.0,Y
2022-04-07,0.8,Y
2022-04-08,0.9,Y
2022-04-09,2.8,Y
2022-04-10,6.4,Y
2022-04-11,4.6,Y
2022-04-12,5.5,Y
2022-04-13,6.4,Y
2022-04-14,6.0,Y
2022-04-15,5.7,Y
2022-04-16,7.9,Y
2022-04-17,7.9,Y
2022-04-18,8.5,Y
2022-04-19,9.8,Y
2022-04-20,11.4,Y
2022-04-21,12.0,Y
2022-04-22,11.2,Y
2022-04-23,9.0,Y
2022-04-24,7.1,Y
2022-04-25,8.3,Y
2022-04-26,8.5,Y
2022-04-27,4.9,Y
2022-04-28,8.0,Y
2022-04-29,8.2,Y
2022-04-30,8.3,Y
2022-05-01,10.5,Y
2022-05-02,10.6,Y
2022-05-03,7.9,Y
2022-05-04,9.8,Y
2022-05-05,11.1,Y
2022-05-06,11.1,Y
2022-05-07,12.5,Y
2022-05-08,9.7,Y
2022-05-09,10.4,Y
2022-05-10,12.4,Y
2022-05-11,11.8,Y
2022-05-12,11.4,Y
2022-05-13,10.9,Y
2022-05-14,12.3,Y
2022-05-15,13.0,Y
2022-05-16,11.6,Y
2022-05-17,10.3,Y
2022-05-18,12.5,Y
2022-05-19,16.3,Y
2022-05-20,13.0,Y
2022-05-21,10.1,Y
2022-05-22,13.3,Y
2022-05-23,14.2,Y
2022-05-24,13.4,Y
2022-05-25,13.4,Y
2022-05-26,11.4,Y
2022-05-27,10.5,Y
2022-05-28,12.0,Y
2022-05-29,11.9,Y
2022-05-30,13.8,Y
2022-05-31,12.5,Y
2022-06-01,13.2,Y
2022-06-02,14.4,Y
2022-06-03,13.8,Y
2022-06-04,15.9,Y
2022-06-05,17.4,Y
2022-06-06,17.1,Y
2022-06-07,16.1,Y
2022-06-08,14.7,Y
2022-06-09,15.7,Y
2022-06-10,16.1,Y
2022-06-11,17.3,Y
2022-06-12,15.0,Y
2022-06-13,15.1,Y
2022-06-14,15.7,Y
2022-06-15,16.4,Y
2022-06-16,16.4,Y
2022-06-17,16.9,Y
2022-06-18,16.7,Y
2022-06-19,15.5,Y
2022-06-20,15.5,Y
2022-06-21,17.3,Y
2022-06-22,16.2,Y
2022-06-23,17.4,Y
2022-06-24,21.6,Y
2022-06-25,24.1,Y
2022-06-26,24.7,Y
2022-06-27,26.4,Y
2022-06-28,21.2,Y
2022-06-29,18.9,Y
2022-06-30,20.4,Y
2022-07-01,23.8,Y
2022-07-02,18.8,Y
2022-07-03,17.3,Y
2022-07-04,16.8,Y
2022-07-05,15.6,Y
2022-07-06,16.0,Y
2022-07-07,16.7,Y
2022-07-08,18.2,Y
2022-07-09,17.5,Y
2022-07-10,16.7,Y
2022-07-11,18.8,Y
2022-07-12,19.9,Y
2022-07-13,18.9,Y
2022-07-14,16.0,Y
2022-07-15,15.9,Y
2022-07-16,15.8,Y
2022-07-17,16.1,Y
2022-07-18,19.0,Y
2022-07-19,20.6,Y
2022-07-20,24.4,Y
2022-07-21,24.9,Y
2022-07-22,19.8,Y
2022-07-23,16.2,Y
2022-07-24,16.8,Y
2022-07-25,18.3,Y
2022-07-26,16.7,Y
2022-07-27,16.7,Y
2022-07-28,15.9,Y
2022-07-29,18.4,Y
2022-07-30,18.2,Y
2022-07-31,19.7,Y
2022-08-01,18.3,Y
2022-08-02,16.9,Y
2022-08-03,20.2,Y
2022-08-04,19.8,Y
2022-08-05,17.1,Y
2022-08-06,15.9,Y
2022-08-07,15.1,Y
2022-08-08,17.4,Y
2022-08-09,16.9,Y
2022-08-10,18.2,Y
2022-08-11,20.1,Y
2022-08-12,20.7,Y
2022-08-13,21.5,Y
2022-08-14,22.3,Y
2022-08-15,22.5,Y
2022-08-16,22.2,Y
2022-08-17,20.3,Y
2022-08-18,20.7,Y
2022-08-19,20.1,Y
2022-08-20,19.6,Y
2022-08-21,18.1,Y
2022-08-22,16.3,Y
2022-08-23,16.7,Y
2022-08-24,16.1,Y
2022-08-25,18.0,Y
2022-08-26,17.4,Y
2022-08-27,17.5,Y
2022-08-28,15.4,Y
2022-08-29,14.6,Y
2022-08-30,14.0,Y
2022-08-31,13.5,Y
2022-09-01,13.4,Y
2022-09-02,12.8,Y
2022-09-03,13.3,Y
2022-09-04,13.9,Y
2022-09-05,14.6,Y
2022-09-06,13.8,Y
