Datum,Lufttemperatur,Kvalitet
2022-01-01,0.7,Y
2022-01-02,2.7,Y
2022-01-03,4.0,Y
2022-01-04,1.4,Y
2022-01-05,-0.8,Y
2022-01-06,-5.2,Y
2022-01-07,-3.8,Y
2022-01-08,0.7,Y
2022-01-09,0.8,Y
2022-01-10,-0.9,Y
2022-01-11,0.1,Y
2022-01-12,2.7,Y
2022-01-13,6.3,Y
2022-01-14,4.8,Y
2022-01-15,0.8,Y
2022-01-16,3.9,Y
2022-01-17,1.4,Y
2022-01-18,0.7,Y
2022-01-19,4.7,Y
2022-01-20,-1.2,Y
2022-01-21,-2.2,Y
2022-01-22,-3.9,Y
2022-01-23,0.1,Y
2022-01-24,4.4,Y
2022-01-25,0.3,Y
2022-01-26,1.9,Y
2022-01-27,3.5,Y
2022-01-28,1.2,Y
2022-01-29,3.7,Y
2022-01-30,2.2,Y
2022-01-31,-2.6,Y
2022-02-01,-4.5,Y
2022-02-02,-4.4,Y
2022-02-03,-1.1,Y
2022-02-04,2.4,Y
2022-02-05,2.1,Y
2022-02-06,3.0,Y
2022-02-07,0.4,Y
2022-02-08,3.6,Y
2022-02-09,4.0,Y
2022-02-10,3.7,Y
2022-02-11,-0.4,Y
2022-02-12,3.0,Y
2022-02-13,2.8,Y
2022-02-14,2.8,Y
2022-02-15,4.1,Y
2022-02-16,3.4,Y
2022-02-17,2.1,Y
2022-02-18,2.6,Y
2022-02-19,0.5,Y
2022-02-20,0.8,Y
2022-02-21,2.3,Y
2022-02-22,-2.9,Y
2022-02-23,0.7,Y
2022-02-24,2.9,Y
2022-02-25,2.2,Y
2022-02-26,0.7,Y
2022-02-27,2.7,Y
2022-02-28,2.3,Y
2022-03-01,2.5,Y
2022-03-02,2.6,Y
2022-03-03,2.3,Y
2022-03-04,-1.1,Y
2022-03-05,0.3,Y
2022-03-06,2.2,Y
2022-03-07,2.9,Y
2022-03-08,2.7,Y
2022-03-09,1.7,Y
2022-03-10,2.4,Y
2022-03-11,0.9,Y
2022-03-12,1.2,Y
2022-03-13,0.5,Y
2022-03-14,2.4,Y
2022-03-15,2.6,Y
