Datum,Lufttemperatur,Kvalitet
2022-01-01,0.3,Y
2022-01-02,4.7,Y
2022-01-03,5.2,Y
2022-01-04,0.4,Y
2022-01-05,-1.6,Y
2022-01-06,-7.0,Y
2022-01-07,-5.4,Y
2022-01-08,-0.4,Y
2022-01-09,-0.5,Y
2022-01-10,-2.2,Y
2022-01-11,-4.1,Y
2022-01-12,2.7,Y
2022-01-13,6.6,Y
2022-01-14,4.8,Y
2022-01-15,-0.8,Y
2022-01-16,3.8,Y
2022-01-17,1.1,Y
2022-01-18,0.8,Y
2022-01-19,4.2,Y
2022-01-20,-2.1,Y
2022-01-21,-1.8,Y
2022-01-22,-5.5,Y
2022-01-23,0.9,Y
2022-01-24,4.9,Y
2022-01-25,-0.4,Y
2022-01-26,3.4,Y
2022-01-27,4.0,Y
2022-01-28,-0.3,Y
2022-01-29,4.5,Y
2022-01-30,2.4,Y
2022-01-31,-4.4,Y
2022-02-01,-5.2,Y
2022-02-02,-5.1,Y
2022-02-03,-4.1,Y
2022-02-04,2.1,Y
2022-02-05,2.4,Y
2022-02-06,2.2,Y
2022-02-07,0.4,Y
2022-02-08,3.5,Y
2022-02-09,4.0,Y
2022-02-10,2.9,Y
2022-02-11,-0.7,Y
2022-02-12,1.9,Y
2022-02-13,2.4,Y
2022-02-14,3.6,Y
2022-02-15,3.9,Y
2022-02-16,3.0,Y
2022-02-17,1.5,Y
2022-02-18,2.9,Y
2022-02-19,-0.7,Y
2022-02-20,-0.2,Y
2022-02-21,0.8,Y
2022-02-22,-3.9,Y
2022-02-23,-0.2,Y
2022-02-24,2.8,Y
2022-02-25,1.7,Y
2022-02-26,-1.2,Y
2022-02-27,1.2,Y
2022-02-28,0.0,Y
2022-03-01,1.9,Y
2022-03-02,2.0,Y
2022-03-03,0.2,Y
2022-03-04,-2.4,Y
2022-03-05,-0.8,Y
2022-03-06,1.2,Y
2022-03-07,2.4,Y
2022-03-08,0.6,Y
2022-03-09,1.1,Y
2022-03-10,1.5,Y
2022-03-11,0.1,Y
2022-03-12,2.3,Y
2022-03-13,2.6,Y
2022-03-14,3.7,Y
2022-03-15,2.7,Y
2022-03-16,-0.5,Y
2022-03-17,1.8,Y
2022-03-18,6.3,Y
2022-03-19,3.6,Y
2022-03-20,5.1,Y
2022-03-21,4.6,Y
2022-03-22,3.9,Y
2022-03-23,4.4,Y
2022-03-24,6.9,Y
2022-03-25,8.6,Y
2022-03-26,5.9,Y
2022-03-27,5.6,Y
2022-03-28,8.2,Y
2022-03-29,-0.0,Y
2022-03-30,-2.3,Y
2022-03-31,-1.9,Y
2022-04-01,-2.3,Y
2022-04-02,-2.5,Y
2022-04-03,2.1,Y
2022-04-04,2.2,Y
2022-04-05,-0.1,Y
2022-04-06,0.5,Y
2022-04-07,2.4,Y
2022-04-08,-0.3,Y
2022-04-09,1.3,Y
2022-04-10,4.8,Y
2022-04-11,3.7,Y
2022-04-12,4.5,Y
2022-04-13,5.8,Y
2022-04-14,5.0,Y
2022-04-15,5.5,Y
2022-04-16,6.4,Y
2022-04-17,8.8,Y
2022-04-18,9.0,Y
2022-04-19,9.3,Y
2022-04-20,9.0,Y
2022-04-21,10.3,Y
2022-04-22,9.5,Y
2022-04-23,7.4,Y
2022-04-24,6.1,Y
2022-04-25,7.0,Y
2022-04-26,8.1,Y
2022-04-27,4.8,Y
2022-04-28,7.1,Y
2022-04-29,6.6,Y
2022-04-30,7.4,Y
2022-05-01,9.2,Y
2022-05-02,10.2,Y
2022-05-03,7.6,Y
2022-05-04,8.2,Y
2022-05-05,11.3,Y
2022-05-06,10.9,Y
2022-05-07,11.9,Y
2022-05-08,8.9,Y
2022-05-09,10.8,Y
2022-05-10,12.6,Y
2022-05-11,11.2,Y
2022-05-12,11.5,Y
2022-05-13,10.7,Y
2022-05-14,12.1,Y
2022-05-15,12.0,Y
2022-05-16,11.2,Y
2022-05-17,8.9,Y
2022-05-18,13.1,Y
2022-05-19,15.3,Y
2022-05-20,12.1,Y
2022-05-21,9.9,Y
2022-05-22,10.5,Y
2022-05-23,13.2,Y
2022-05-24,12.9,Y
2022-05-25,13.6,Y
2022-05-26,9.7,Y
2022-05-27,10.7,Y
2022-05-28,9.8,Y
2022-05-29,11.3,Y
2022-05-30,11.0,Y
2022-05-31,11.0,Y
2022-06-01,13.2,Y
2022-06-02,13.0,Y
2022-06-03,13.4,Y
2022-06-04,15.1,Y
2022-06-05,16.7,Y
2022-06-06,15.4,Y
2022-06-07,14.7,Y
2022-06-08,14.9,Y
2022-06-09,15.5,Y
2022-06-10,16.0,Y
2022-06-11,16.5,Y
2022-06-12,15.0,Y
2022-06-13,13.6,Y
2022-06-14,16.1,Y
2022-06-15,16.5,Y
2022-06-16,16.1,Y
2022-06-17,17.0,Y
2022-06-18,17.1,Y
2022-06-19,14.5,Y
2022-06-20,12.5,Y
2022-06-21,16.4,Y
2022-06-22,16.4,Y
2022-06-23,17.0,Y
2022-06-24,20.4,Y
2022-06-25,23.4,Y
2022-06-26,23.9,Y
2022-06-27,25.3,Y
2022-06-28,18.5,Y
2022-06-29,19.1,Y
2022-06-30,19.5,Y
2022-07-01,23.0,Y
2022-07-02,18.7,Y
2022-07-03,18.0,Y
2022-07-04,16.5,Y
2022-07-05,15.4,Y
2022-07-06,16.0,Y
2022-07-07,14.5,Y
2022-07-08,16.3,Y
2022-07-09,16.5,Y
2022-07-10,13.9,Y
2022-07-11,15.5,Y
2022-07-12,18.4,Y
2022-07-13,18.6,Y
2022-07-14,15.0,Y
2022-07-15,14.0,Y
2022-07-16,13.1,Y
2022-07-17,15.4,Y
2022-07-18,18.1,Y
2022-07-19,19.1,Y
2022-07-20,23.8,Y
2022-07-21,27.4,Y
2022-07-22,21.0,Y
2022-07-23,14.4,Y
2022-07-24,15.8,Y
2022-07-25,18.1,Y
2022-07-26,17.0,Y
2022-07-27,15.3,Y
2022-07-28,16.0,Y
2022-07-29,16.4,Y
2022-07-30,18.0,Y
2022-07-31,18.2,Y
2022-08-01,17.4,Y
2022-08-02,16.8,Y
2022-08-03,19.4,Y
