Datum,Lufttemperatur,Kvalitet
2022-01-01,4.2,Y
2022-01-02,7.0,Y
2022-01-03,6.7,Y
2022-01-04,3.8,Y
2022-01-05,0.7,Y
2022-01-06,-3.2,Y
2022-01-07,1.8,Y
2022-01-08,2.0,Y
2022-01-09,1.3,Y
2022-01-10,0.7,Y
2022-01-11,1.6,Y
2022-01-12,5.3,Y
2022-01-13,7.7,Y
2022-01-14,6.2,Y
2022-01-15,1.0,Y
2022-01-16,5.4,Y
2022-01-17,3.7,Y
2022-01-18,2.4,Y
2022-01-19,5.5,Y
2022-01-20,1.8,Y
2022-01-21,1.5,Y
2022-01-22,1.6,Y
2022-01-23,4.7,Y
2022-01-24,5.8,Y
2022-01-25,3.9,Y
2022-01-26,6.0,Y
2022-01-27,6.5,Y
2022-01-28,4.3,Y
2022-01-29,6.9,Y
2022-01-30,5.6,Y
2022-01-31,-0.8,Y
2022-02-01,-0.7,Y
2022-02-02,-1.0,Y
2022-02-03,2.3,Y
2022-02-04,4.8,Y
2022-02-05,4.6,Y
2022-02-06,3.8,Y
2022-02-07,4.0,Y
2022-02-08,6.2,Y
2022-02-09,6.0,Y
2022-02-10,4.5,Y
2022-02-11,1.5,Y
2022-02-12,3.6,Y
2022-02-13,3.7,Y
2022-02-14,6.2,Y
2022-02-15,5.5,Y
2022-02-16,3.8,Y
2022-02-17,3.7,Y
2022-02-18,3.8,Y
2022-02-19,3.2,Y
2022-02-20,1.1,Y
2022-02-21,2.5,Y
2022-02-22,-0.3,Y
2022-02-23,4.3,Y
2022-02-24,3.4,Y
2022-02-25,4.0,Y
2022-02-26,1.4,Y
2022-02-27,2.7,Y
2022-02-28,3.9,Y
2022-03-01,3.6,Y
2022-03-02,4.0,Y
2022-03-03,2.7,Y
2022-03-04,1.5,Y
2022-03-05,-0.2,Y
2022-03-06,2.9,Y
2022-03-07,1.6,Y
2022-03-08,1.0,Y
2022-03-09,3.1,Y
2022-03-10,3.8,Y
2022-03-11,4.7,Y
2022-03-12,5.8,Y
2022-03-13,6.6,Y
2022-03-14,7.4,Y
2022-03-15,3.3,Y
2022-03-16,3.8,Y
2022-03-17,4.7,Y
2022-03-18,6.6,Y
2022-03-19,4.4,Y
2022-03-20,5.4,Y
2022-03-21,7.0,Y
2022-03-22,5.4,Y
2022-03-23,5.0,Y
2022-03-24,5.1,Y
2022-03-25,6.8,Y
2022-03-26,8.5,Y
2022-03-27,7.3,Y
2022-03-28,7.8,Y
2022-03-29,2.8,Y
2022-03-30,0.9,Y
2022-03-31,1.3,Y
2022-04-01,1.3,Y
2022-04-02,0.5,Y
2022-04-03,2.8,Y
2022-04-04,4.9,Y
2022-04-05,2.1,Y
2022-04-06,0.9,Y
2022-04-07,4.1,Y
2022-04-08,2.4,Y
2022-04-09,5.1,Y
2022-04-10,6.6,Y
2022-04-11,5.8,Y
2022-04-12,6.0,Y
2022-04-13,9.0,Y
2022-04-14,8.1,Y
2022-04-15,8.3,Y
2022-04-16,5.9,Y
2022-04-17,8.2,Y
2022-04-18,9.0,Y
2022-04-19,13.2,Y
2022-04-20,13.1,Y
2022-04-21,13.4,Y
2022-04-22,13.3,Y
2022-04-23,11.2,Y
2022-04-24,9.2,Y
2022-04-25,8.0,Y
2022-04-26,9.5,Y
2022-04-27,9.5,Y
2022-04-28,10.0,Y
2022-04-29,10.0,Y
2022-04-30,10.9,Y
2022-05-01,11.1,Y
2022-05-02,9.8,Y
2022-05-03,10.7,Y
2022-05-04,9.5,Y
2022-05-05,10.2,Y
2022-05-06,11.3,Y
2022-05-07,12.2,Y
2022-05-08,11.3,Y
2022-05-09,12.7,Y
2022-05-10,13.1,Y
2022-05-11,11.6,Y
2022-05-12,11.4,Y
2022-05-13,11.0,Y
2022-05-14,12.2,Y
2022-05-15,13.2,Y
2022-05-16,13.2,Y
2022-05-17,13.3,Y
2022-05-18,14.6,Y
2022-05-19,15.5,Y
2022-05-20,14.1,Y
2022-05-21,11.1,Y
2022-05-22,14.0,Y
2022-05-23,14.9,Y
2022-05-24,13.9,Y
2022-05-25,12.8,Y
2022-05-26,12.6,Y
2022-05-27,11.6,Y
2022-05-28,12.8,Y
2022-05-29,13.3,Y
2022-05-30,13.2,Y
2022-05-31,13.5,Y
2022-06-01,13.3,Y
2022-06-02,13.0,Y
2022-06-03,13.5,Y
2022-06-04,14.9,Y
2022-06-05,16.5,Y
2022-06-06,17.0,Y
2022-06-07,16.8,Y
2022-06-08,14.2,Y
2022-06-09,16.6,Y
2022-06-10,15.0,Y
2022-06-11,17.0,Y
2022-06-12,15.3,Y
2022-06-13,14.2,Y
2022-06-14,15.9,Y
2022-06-15,15.7,Y
2022-06-16,16.9,Y
2022-06-17,17.0,Y
2022-06-18,16.1,Y
2022-06-19,15.2,Y
2022-06-20,15.8,Y
2022-06-21,15.8,Y
2022-06-22,15.9,Y
2022-06-23,16.8,Y
2022-06-24,21.9,Y
2022-06-25,23.2,Y
2022-06-26,22.6,Y
2022-06-27,21.6,Y
2022-06-28,18.4,Y
2022-06-29,19.6,Y
2022-06-30,22.4,Y
2022-07-01,22.1,Y
2022-07-02,18.6,Y
2022-07-03,17.6,Y
2022-07-04,15.4,Y
2022-07-05,16.1,Y
2022-07-06,16.9,Y
2022-07-07,18.3,Y
2022-07-08,18.5,Y
2022-07-09,17.8,Y
2022-07-10,17.2,Y
2022-07-11,18.7,Y
2022-07-12,18.1,Y
2022-07-13,19.2,Y
2022-07-14,16.4,Y
2022-07-15,15.8,Y
2022-07-16,16.4,Y
2022-07-17,17.5,Y
2022-07-18,18.5,Y
2022-07-19,21.0,Y
2022-07-20,25.0,Y
2022-07-21,24.3,Y
2022-07-22,18.3,Y
2022-07-23,17.2,Y
2022-07-24,17.8,Y
2022-07-25,18.4,Y
2022-07-26,16.2,Y
2022-07-27,18.0,Y
2022-07-28,17.3,Y
2022-07-29,18.8,Y
2022-07-30,19.8,Y
2022-07-31,20.3,Y
2022-08-01,18.5,Y
2022-08-02,16.2,Y
2022-08-03,19.4,Y
2022-08-04,20.8,Y
2022-08-05,16.9,Y
2022-08-06,16.2,Y
2022-08-07,15.6,Y
2022-08-08,17.5,Y
2022-08-09,16.9,Y
2022-08-10,19.0,Y
2022-08-11,20.4,Y
2022-08-12,21.9,Y
2022-08-13,21.9,Y
2022-08-14,22.7,Y
2022-08-15,22.9,Y
2022-08-16,22.2,Y
2022-08-17,21.2,Y
2022-08-18,21.6,Y
2022-08-19,20.7,Y
2022-08-20,19.7,Y
2022-08-21,17.9,Y
2022-08-22,17.4,Y
2022-08-23,17.3,Y
2022-08-24,20.5,Y
2022-08-25,20.6,Y
2022-08-26,20.9,Y
2022-08-27,19.6,Y
2022-08-28,18.2,Y
2022-08-29,15.8,Y
2022-08-30,14.8,Y
2022-08-31,15.1,Y
2022-09-01,15.1,Y
2022-09-02,15.3,Y
2022-09-03,16.4,Y
2022-09-04,17.1,Y
2022-09-05,16.2,Y
2022-09-06,15.5,Y
2022-09-07,14.6,Y
2022-09-08,15.7,Y
2022-09-09,13.4,Y
2022-09-10,15.0,Y
2022-09-11,14.9,Y
2022-09-12,15.1,Y
2022-09-13,14.5,Y
2022-09-14,15.8,Y
2022-09-15,13.9,Y
2022-09-16,14.2,Y
2022-09-17,13.0,Y
2022-09-18,13.1,Y
2022-09-19,12.1,Y
2022-09-20,11.9,Y
2022-09-21,10.8,Y
2022-09-22,12.0,Y
2022-09-23,13.0,Y
2022-09-24,13.3,Y
2022-09-25,12.5,Y
2022-09-26,11.4,Y
2022-09-27,12.0,Y
2022-09-28,13.6,Y
2022-09-29,11.1,Y
2022-09-30,9.9,Y
2022-10-01,11.3,Y
2022-10-02,12.1,Y
2022-10-03,10.3,Y
2022-10-04,11.7,Y
2022-10-05,14.8,Y
2022-10-06,13.3,Y
2022-10-07,14.2,Y
2022-10-08,12.2,Y
2022-10-09,11.5,Y
2022-10-10,11.6,Y
2022-10-11,11.6,Y
2022-10-12,12.5,Y
2022-10-13,12.1,Y
2022-10-14,11.8,Y
2022-10-15,13.3,Y
2022-10-16,12.1,Y
2022-10-17,12.0,Y
2022-10-18,11.9,Y
2022-10-19,5.9,Y
2022-10-20,7.1,Y
2022-10-21,8.6,Y
2022-10-22,9.8,Y
2022-10-23,12.0,Y
2022-10-24,11.8,Y
2022-10-25,12.9,Y
2022-10-26,12.3,Y
2022-10-27,13.5,Y
2022-10-28,13.5,Y
2022-10-29,12.8,Y
2022-10-30,13.8,Y
2022-10-31,13.0,Y
2022-11-01,12.1,Y
2022-11-02,11.8,Y
2022-11-03,11.0,Y
2022-11-04,10.6,Y
2022-11-05,10.7,Y
2022-11-06,11.2,Y
2022-11-07,10.5,Y
2022-11-08,12.5,Y
2022-11-09,12.2,Y
2022-11-10,11.5,Y
