Datum,Lufttemperatur,Kvalitet
2022-01-01,-0.5,Y
2022-01-02,3.1,Y
2022-01-03,4.6,Y
2022-01-04,0.7,Y
2022-01-05,-1.6,Y
2022-01-06,-6.6,Y
2022-01-07,-7.5,Y
2022-01-08,-0.7,Y
2022-01-09,-0.7,Y
2022-01-10,-2.8,Y
2022-01-11,-3.6,Y
2022-01-12,2.8,Y
2022-01-13,6.2,Y
2022-01-14,3.7,Y
2022-01-15,-0.6,Y
2022-01-16,3.3,Y
2022-01-17,0.5,Y
2022-01-18,-1.1,Y
2022-01-19,4.3,Y
2022-01-20,-2.1,Y
2022-01-21,-3.1,Y
2022-01-22,-5.5,Y
2022-01-23,-0.2,Y
2022-01-24,3.8,Y
2022-01-25,-0.8,Y
2022-01-26,2.2,Y
2022-01-27,2.8,Y
2022-01-28,0.2,Y
2022-01-29,3.6,Y
2022-01-30,2.0,Y
2022-01-31,-4.4,Y
2022-02-01,-6.4,Y
2022-02-02,-5.3,Y
2022-02-03,-3.3,Y
2022-02-04,2.3,Y
2022-02-05,1.7,Y
2022-02-06,2.5,Y
2022-02-07,-0.5,Y
2022-02-08,3.1,Y
2022-02-09,3.1,Y
2022-02-10,3.0,Y
2022-02-11,-1.4,Y
2022-02-12,2.4,Y
2022-02-13,2.9,Y
2022-02-14,2.8,Y
2022-02-15,3.9,Y
2022-02-16,2.4,Y
2022-02-17,1.7,Y
2022-02-18,1.9,Y
2022-02-19,-1.2,Y
2022-02-20,-1.2,Y
2022-02-21,0.2,Y
2022-02-22,-4.7,Y
2022-02-23,-1.4,Y
2022-02-24,3.6,Y
2022-02-25,2.0,Y
2022-02-26,0.1,Y
2022-02-27,2.6,Y
2022-02-28,-0.7,Y
2022-03-01,2.2,Y
2022-03-02,2.4,Y
2022-03-03,1.1,Y
2022-03-04,-1.6,Y
2022-03-05,-1.4,Y
2022-03-06,1.2,Y
2022-03-07,2.6,Y
2022-03-08,-0.5,Y
2022-03-09,0.9,Y
2022-03-10,1.4,Y
2022-03-11,0.5,Y
2022-03-12,1.4,Y
2022-03-13,1.9,Y
2022-03-14,2.2,Y
2022-03-15,2.0,Y
2022-03-16,-1.1,Y
2022-03-17,1.8,Y
2022-03-18,5.2,Y
2022-03-19,3.8,Y
2022-03-20,5.2,Y
2022-03-21,3.8,Y
2022-03-22,3.2,Y
2022-03-23,5.0,Y
2022-03-24,6.9,Y
2022-03-25,8.7,Y
2022-03-26,5.9,Y
2022-03-27,4.3,Y
2022-03-28,8.1,Y
2022-03-29,-0.6,Y
2022-03-30,-1.8,Y
2022-03-31,-2.5,Y
2022-04-01,-2.8,Y
2022-04-02,-1.9,Y
2022-04-03,1.2,Y
2022-04-04,2.3,Y
2022-04-05,-0.9,Y
2022-04-06,2.0,Y
2022-04-07,0.8,Y
2022-04-08,-0.3,Y
2022-04-09,0.4,Y
2022-04-10,4.7,Y
2022-04-11,4.2,Y
2022-04-12,4.4,Y
2022-04-13,4.2,Y
2022-04-14,4.9,Y
2022-04-15,5.9,Y
2022-04-16,7.0,Y
2022-04-17,10.5,Y
2022-04-18,9.7,Y
2022-04-19,9.5,Y
2022-04-20,9.4,Y
2022-04-21,11.4,Y
2022-04-22,10.0,Y
2022-04-23,7.1,Y
2022-04-24,6.4,Y
2022-04-25,8.2,Y
2022-04-26,8.3,Y
2022-04-27,5.2,Y
2022-04-28,7.3,Y
2022-04-29,6.8,Y
2022-04-30,8.2,Y
2022-05-01,9.7,Y
2022-05-02,9.8,Y
2022-05-03,7.8,Y
2022-05-04,6.7,Y
2022-05-05,12.8,Y
2022-05-06,13.2,Y
2022-05-07,10.3,Y
2022-05-08,9.1,Y
2022-05-09,10.6,Y
2022-05-10,13.1,Y
2022-05-11,11.9,Y
2022-05-12,12.3,Y
2022-05-13,11.3,Y
2022-05-14,12.6,Y
2022-05-15,11.3,Y
2022-05-16,10.8,Y
2022-05-17,9.1,Y
2022-05-18,12.8,Y
2022-05-19,17.0,Y
2022-05-20,11.8,Y
2022-05-21,9.5,Y
2022-05-22,11.7,Y
2022-05-23,11.4,Y
2022-05-24,13.2,Y
2022-05-25,14.4,Y
2022-05-26,11.0,Y
2022-05-27,11.3,Y
2022-05-28,10.5,Y
2022-05-29,11.5,Y
2022-05-30,10.5,Y
2022-05-31,11.1,Y
2022-06-01,13.7,Y
2022-06-02,11.0,Y
2022-06-03,12.6,Y
2022-06-04,15.8,Y
2022-06-05,16.2,Y
2022-06-06,14.7,Y
2022-06-07,12.8,Y
2022-06-08,15.2,Y
2022-06-09,17.1,Y
2022-06-10,15.8,Y
2022-06-11,16.1,Y
2022-06-12,15.1,Y
2022-06-13,14.8,Y
2022-06-14,15.9,Y
2022-06-15,16.6,Y
2022-06-16,16.6,Y
2022-06-17,17.2,Y
2022-06-18,16.8,Y
2022-06-19,15.7,Y
2022-06-20,13.6,Y
2022-06-21,16.5,Y
2022-06-22,17.2,Y
2022-06-23,18.6,Y
2022-06-24,19.6,Y
2022-06-25,21.5,Y
2022-06-26,22.6,Y
2022-06-27,24.5,Y
2022-06-28,20.7,Y
2022-06-29,19.8,Y
2022-06-30,20.8,Y
2022-07-01,21.2,Y
2022-07-02,18.9,Y
2022-07-03,17.0,Y
2022-07-04,16.9,Y
2022-07-05,15.5,Y
2022-07-06,16.5,Y
2022-07-07,14.9,Y
2022-07-08,15.8,Y
2022-07-09,16.1,Y
2022-07-10,13.6,Y
2022-07-11,16.4,Y
2022-07-12,19.0,Y
2022-07-13,18.1,Y
2022-07-14,15.1,Y
2022-07-15,13.6,Y
2022-07-16,13.1,Y
2022-07-17,15.1,Y
2022-07-18,18.0,Y
2022-07-19,19.3,Y
2022-07-20,22.9,Y
2022-07-21,24.7,Y
2022-07-22,18.6,Y
2022-07-23,14.5,Y
2022-07-24,17.5,Y
