Datum,Lufttemperatur,Kvalitet
2022-01-01,1.0,Y
2022-01-02,5.2,Y
2022-01-03,5.0,Y
2022-01-04,0.6,Y
2022-01-05,-1.8,Y
2022-01-06,-6.0,Y
2022-01-07,-4.0,Y
2022-01-08,-0.8,Y
2022-01-09,-0.8,Y
2022-01-10,-1.7,Y
2022-01-11,-3.5,Y
2022-01-12,2.4,Y
2022-01-13,6.6,Y
2022-01-14,4.8,Y
2022-01-15,-0.1,Y
2022-01-16,3.9,Y
2022-01-17,1.3,Y
2022-01-18,1.2,Y
2022-01-19,3.7,Y
2022-01-20,-1.2,Y
2022-01-21,-1.8,Y
2022-01-22,-5.3,Y
2022-01-23,0.5,Y
2022-01-24,4.8,Y
2022-01-25,-0.7,Y
2022-01-26,3.1,Y
2022-01-27,4.0,Y
2022-01-28,0.1,Y
2022-01-29,4.4,Y
2022-01-30,2.3,Y
2022-01-31,-4.4,Y
2022-02-01,-4.7,Y
2022-02-02,-4.7,Y
2022-02-03,-3.0,Y
2022-02-04,1.7,Y
2022-02-05,2.0,Y
2022-02-06,1.9,Y
2022-02-07,0.7,Y
2022-02-08,3.1,Y
2022-02-09,3.7,Y
2022-02-10,2.7,Y
2022-02-11,-1.1,Y
2022-02-12,1.7,Y
2022-02-13,2.0,Y
2022-02-14,3.2,Y
2022-02-15,4.0,Y
2022-02-16,2.3,Y
2022-02-17,1.0,Y
2022-02-18,2.6,Y
2022-02-19,-0.5,Y
2022-02-20,-0.3,Y
2022-02-21,0.7,Y
2022-02-22,-3.5,Y
2022-02-23,0.2,Y
2022-02-24,3.0,Y
2022-02-25,1.2,Y
2022-02-26,-2.2,Y
2022-02-27,0.5,Y
2022-02-28,-0.6,Y
2022-03-01,2.3,Y
2022-03-02,1.1,Y
2022-03-03,-0.6,Y
2022-03-04,-3.8,Y
2022-03-05,-1.3,Y
2022-03-06,1.1,Y
2022-03-07,1.9,Y
2022-03-08,-0.4,Y
2022-03-09,1.3,Y
2022-03-10,1.6,Y
2022-03-11,-0.4,Y
2022-03-12,1.4,Y
2022-03-13,2.1,Y
2022-03-14,2.5,Y
2022-03-15,1.9,Y
2022-03-16,0.9,Y
2022-03-17,1.8,Y
2022-03-18,5.6,Y
2022-03-19,3.0,Y
2022-03-20,3.5,Y
2022-03-21,3.0,Y
2022-03-22,4.5,Y
2022-03-23,4.4,Y
2022-03-24,8.1,Y
2022-03-25,9.2,Y
2022-03-26,5.9,Y
2022-03-27,6.1,Y
2022-03-28,7.9,Y
2022-03-29,0.6,Y
2022-03-30,-2.6,Y
2022-03-31,-1.4,Y
2022-04-01,-1.7,Y
2022-04-02,-2.2,Y
2022-04-03,2.2,Y
2022-04-04,1.8,Y
2022-04-05,0.3,Y
2022-04-06,0.2,Y
2022-04-07,2.1,Y
2022-04-08,0.3,Y
2022-04-09,1.7,Y
2022-04-10,5.0,Y
2022-04-11,3.8,Y
2022-04-12,4.9,Y
2022-04-13,5.2,Y
2022-04-14,5.5,Y
2022-04-15,5.4,Y
2022-04-16,6.7,Y
2022-04-17,8.7,Y
2022-04-18,8.3,Y
2022-04-19,9.5,Y
2022-04-20,8.8,Y
2022-04-21,9.9,Y
2022-04-22,8.9,Y
2022-04-23,7.6,Y
2022-04-24,6.0,Y
2022-04-25,7.0,Y
2022-04-26,7.8,Y
2022-04-27,4.8,Y
2022-04-28,7.4,Y
2022-04-29,6.7,Y
2022-04-30,7.3,Y
2022-05-01,8.8,Y
2022-05-02,9.8,Y
2022-05-03,7.4,Y
2022-05-04,8.1,Y
2022-05-05,11.1,Y
2022-05-06,10.9,Y
2022-05-07,11.7,Y
2022-05-08,9.1,Y
2022-05-09,10.9,Y
2022-05-10,12.4,Y
2022-05-11,10.9,Y
2022-05-12,11.0,Y
2022-05-13,10.4,Y
2022-05-14,11.7,Y
2022-05-15,11.7,Y
2022-05-16,10.8,Y
2022-05-17,9.3,Y
2022-05-18,13.6,Y
2022-05-19,16.6,Y
2022-05-20,12.7,Y
2022-05-21,9.7,Y
2022-05-22,11.5,Y
2022-05-23,13.0,Y
2022-05-24,12.6,Y
2022-05-25,13.4,Y
2022-05-26,9.9,Y
2022-05-27,10.4,Y
2022-05-28,9.6,Y
2022-05-29,11.6,Y
2022-05-30,10.3,Y
2022-05-31,11.7,Y
2022-06-01,12.7,Y
2022-06-02,13.1,Y
2022-06-03,13.4,Y
2022-06-04,15.0,Y
2022-06-05,17.0,Y
2022-06-06,15.1,Y
2022-06-07,14.8,Y
2022-06-08,14.5,Y
2022-06-09,15.7,Y
2022-06-10,15.4,Y
2022-06-11,16.2,Y
2022-06-12,15.0,Y
2022-06-13,13.7,Y
2022-06-14,16.6,Y
2022-06-15,16.5,Y
2022-06-16,16.2,Y
2022-06-17,17.0,Y
2022-06-18,16.6,Y
2022-06-19,14.6,Y
2022-06-20,14.3,Y
2022-06-21,17.3,Y
2022-06-22,16.3,Y
2022-06-23,17.5,Y
2022-06-24,21.2,Y
2022-06-25,23.4,Y
2022-06-26,24.1,Y
2022-06-27,25.4,Y
2022-06-28,19.9,Y
2022-06-29,18.8,Y
2022-06-30,19.1,Y
2022-07-01,23.3,Y
2022-07-02,19.1,Y
2022-07-03,17.4,Y
2022-07-04,16.7,Y
2022-07-05,15.2,Y
2022-07-06,15.8,Y
2022-07-07,15.1,Y
2022-07-08,16.7,Y
2022-07-09,16.6,Y
2022-07-10,14.6,Y
2022-07-11,16.1,Y
2022-07-12,18.5,Y
2022-07-13,18.7,Y
2022-07-14,15.3,Y
2022-07-15,14.3,Y
2022-07-16,13.5,Y
2022-07-17,16.3,Y
2022-07-18,18.3,Y
2022-07-19,19.6,Y
2022-07-20,24.7,Y
2022-07-21,28.2,Y
2022-07-22,22.1,Y
2022-07-23,14.6,Y
2022-07-24,16.2,Y
2022-07-25,17.7,Y
2022-07-26,16.2,Y
2022-07-27,15.4,Y
2022-07-28,15.9,Y
2022-07-29,17.4,Y
2022-07-30,17.5,Y
2022-07-31,18.8,Y
2022-08-01,18.6,Y
2022-08-02,16.5,Y
2022-08-03,19.6,Y
2022-08-04,23.1,Y
2022-08-05,19.0,Y
2022-08-06,15.2,Y
2022-08-07,14.2,Y
2022-08-08,16.6,Y
2022-08-09,17.1,Y
2022-08-10,18.6,Y
2022-08-11,20.8,Y
2022-08-12,22.3,Y
2022-08-13,21.9,Y
2022-08-14,22.3,Y
2022-08-15,20.3,Y
2022-08-16,21.0,Y
2022-08-17,21.3,Y
2022-08-18,20.2,Y
2022-08-19,21.6,Y
2022-08-20,19.2,Y
2022-08-21,17.7,Y
2022-08-22,15.9,Y
2022-08-23,15.1,Y
2022-08-24,15.7,Y
