Datum,Lufttemperatur,Kvalitet
2022-01-01,2.7,Y
2022-01-02,4.7,Y
2022-01-03,5.6,Y
2022-01-04,2.7,Y
2022-01-05,1.8,Y
2022-01-06,-1.4,Y
2022-01-07,-0.7,Y
2022-01-08,0.8,Y
2022-01-09,1.4,Y
2022-01-10,2.0,Y
2022-01-11,-0.0,Y
2022-01-12,2.5,Y
2022-01-13,5.9,Y
2022-01-14,5.6,Y
2022-01-15,2.2,Y
2022-01-16,4.0,Y
2022-01-17,2.5,Y
2022-01-18,2.1,Y
2022-01-19,4.2,Y
2022-01-20,0.1,Y
2022-01-21,0.5,Y
2022-01-22,-0.5,Y
2022-01-23,1.4,Y
2022-01-24,4.2,Y
2022-01-25,1.7,Y
2022-01-26,2.4,Y
2022-01-27,4.3,Y
2022-01-28,2.5,Y
2022-01-29,4.4,Y
2022-01-30,3.2,Y
2022-01-31,-0.2,Y
2022-02-01,-2.0,Y
2022-02-02,-0.7,Y
2022-02-03,0.4,Y
2022-02-04,4.2,Y
2022-02-05,2.8,Y
2022-02-06,3.6,Y
2022-02-07,2.4,Y
2022-02-08,3.8,Y
2022-02-09,4.4,Y
2022-02-10,3.1,Y
2022-02-11,1.6,Y
2022-02-12,1.9,Y
2022-02-13,2.7,Y
2022-02-14,4.2,Y
2022-02-15,4.3,Y
2022-02-16,3.1,Y
2022-02-17,2.0,Y
2022-02-18,3.7,Y
2022-02-19,1.9,Y
2022-02-20,2.4,Y
2022-02-21,3.9,Y
2022-02-22,0.5,Y
2022-02-23,1.6,Y
2022-02-24,4.7,Y
2022-02-25,3.2,Y
2022-02-26,0.9,Y
2022-02-27,2.3,Y
2022-02-28,1.6,Y
2022-03-01,2.7,Y
2022-03-02,2.5,Y
2022-03-03,2.7,Y
2022-03-04,1.6,Y
2022-03-05,-0.2,Y
2022-03-06,2.5,Y
2022-03-07,2.4,Y
2022-03-08,3.1,Y
2022-03-09,2.0,Y
2022-03-10,2.2,Y
2022-03-11,1.4,Y
2022-03-12,2.1,Y
2022-03-13,2.1,Y
2022-03-14,3.1,Y
2022-03-15,3.6,Y
2022-03-16,1.2,Y
2022-03-17,2.8,Y
2022-03-18,6.0,Y
2022-03-19,4.9,Y
2022-03-20,3.9,Y
2022-03-21,4.3,Y
2022-03-22,6.2,Y
2022-03-23,6.4,Y
2022-03-24,9.1,Y
2022-03-25,9.4,Y
2022-03-26,6.6,Y
2022-03-27,6.6,Y
2022-03-28,7.7,Y
2022-03-29,2.6,Y
2022-03-30,0.8,Y
2022-03-31,1.7,Y
2022-04-01,1.5,Y
2022-04-02,1.0,Y
2022-04-03,3.5,Y
2022-04-04,3.5,Y
2022-04-05,2.0,Y
2022-04-06,1.7,Y
2022-04-07,5.3,Y
2022-04-08,2.9,Y
2022-04-09,3.3,Y
2022-04-10,5.2,Y
2022-04-11,5.3,Y
2022-04-12,4.9,Y
2022-04-13,4.8,Y
2022-04-14,5.1,Y
2022-04-15,4.2,Y
2022-04-16,5.4,Y
2022-04-17,6.2,Y
2022-04-18,6.5,Y
2022-04-19,5.7,Y
2022-04-20,5.7,Y
2022-04-21,5.8,Y
2022-04-22,5.6,Y
2022-04-23,5.4,Y
2022-04-24,5.1,Y
2022-04-25,6.3,Y
2022-04-26,6.2,Y
2022-04-27,6.2,Y
2022-04-28,7.6,Y
2022-04-29,6.5,Y
2022-04-30,7.1,Y
2022-05-01,7.1,Y
2022-05-02,10.6,Y
2022-05-03,8.2,Y
2022-05-04,7.3,Y
2022-05-05,10.0,Y
2022-05-06,10.7,Y
2022-05-07,10.3,Y
2022-05-08,8.1,Y
2022-05-09,9.5,Y
2022-05-10,10.3,Y
2022-05-11,12.8,Y
2022-05-12,11.6,Y
2022-05-13,11.0,Y
2022-05-14,11.8,Y
2022-05-15,11.1,Y
2022-05-16,9.9,Y
2022-05-17,8.1,Y
2022-05-18,10.5,Y
2022-05-19,13.5,Y
2022-05-20,9.9,Y
2022-05-21,8.2,Y
2022-05-22,9.3,Y
2022-05-23,10.5,Y
2022-05-24,11.6,Y
2022-05-25,14.6,Y
2022-05-26,13.3,Y
2022-05-27,11.5,Y
2022-05-28,9.8,Y
2022-05-29,11.6,Y
2022-05-30,10.2,Y
2022-05-31,12.2,Y
2022-06-01,13.1,Y
2022-06-02,13.5,Y
2022-06-03,13.8,Y
2022-06-04,14.7,Y
2022-06-05,17.5,Y
2022-06-06,15.3,Y
2022-06-07,15.1,Y
2022-06-08,16.8,Y
2022-06-09,16.1,Y
2022-06-10,18.2,Y
2022-06-11,18.1,Y
2022-06-12,16.3,Y
2022-06-13,15.1,Y
2022-06-14,15.6,Y
2022-06-15,17.2,Y
2022-06-16,17.1,Y
2022-06-17,18.1,Y
2022-06-18,18.2,Y
2022-06-19,15.9,Y
2022-06-20,15.2,Y
2022-06-21,16.6,Y
2022-06-22,17.7,Y
2022-06-23,18.8,Y
2022-06-24,19.6,Y
2022-06-25,21.0,Y
2022-06-26,22.1,Y
2022-06-27,23.1,Y
2022-06-28,21.1,Y
2022-06-29,20.0,Y
2022-06-30,20.5,Y
2022-07-01,21.8,Y
2022-07-02,20.1,Y
2022-07-03,19.8,Y
2022-07-04,19.6,Y
2022-07-05,17.8,Y
2022-07-06,17.9,Y
2022-07-07,17.1,Y
2022-07-08,18.4,Y
2022-07-09,17.8,Y
2022-07-10,16.7,Y
2022-07-11,17.6,Y
2022-07-12,19.5,Y
2022-07-13,21.2,Y
2022-07-14,18.0,Y
2022-07-15,16.6,Y
2022-07-16,15.8,Y
2022-07-17,18.0,Y
2022-07-18,19.1,Y
2022-07-19,20.5,Y
2022-07-20,20.5,Y
2022-07-21,21.8,Y
2022-07-22,21.5,Y
2022-07-23,18.4,Y
2022-07-24,19.5,Y
2022-07-25,19.9,Y
2022-07-26,19.0,Y
2022-07-27,16.0,Y
2022-07-28,17.6,Y
2022-07-29,18.3,Y
2022-07-30,18.6,Y
2022-07-31,18.8,Y
2022-08-01,19.5,Y
2022-08-02,18.8,Y
2022-08-03,20.1,Y
2022-08-04,21.9,Y
2022-08-05,20.7,Y
2022-08-06,16.8,Y
2022-08-07,15.9,Y
2022-08-08,17.5,Y
2022-08-09,18.6,Y
2022-08-10,19.8,Y
2022-08-11,20.8,Y
2022-08-12,21.1,Y
2022-08-13,20.2,Y
2022-08-14,20.1,Y
2022-08-15,21.3,Y
2022-08-16,22.1,Y
2022-08-17,22.3,Y
2022-08-18,21.4,Y
2022-08-19,22.0,Y
2022-08-20,21.5,Y
2022-08-21,19.0,Y
2022-08-22,18.3,Y
2022-08-23,18.5,Y
2022-08-24,18.6,Y
2022-08-25,18.2,Y
2022-08-26,18.8,Y
2022-08-27,20.8,Y
2022-08-28,18.8,Y
2022-08-29,15.5,Y
2022-08-30,15.8,Y
2022-08-31,15.8,Y
2022-09-01,14.8,Y
2022-09-02,14.2,Y
2022-09-03,14.0,Y
2022-09-04,15.3,Y
2022-09-05,13.9,Y
2022-09-06,13.9,Y
2022-09-07,15.7,Y
2022-09-08,15.1,Y
2022-09-09,15.5,Y
2022-09-10,15.1,Y
2022-09-11,15.8,Y
2022-09-12,15.5,Y
2022-09-13,16.4,Y
2022-09-14,15.9,Y
2022-09-15,14.1,Y
2022-09-16,13.6,Y
2022-09-17,14.2,Y
2022-09-18,14.2,Y
2022-09-19,13.1,Y
2022-09-20,12.8,Y
2022-09-21,12.5,Y
2022-09-22,12.4,Y
2022-09-23,13.0,Y
2022-09-24,13.2,Y
2022-09-25,13.2,Y
2022-09-26,12.5,Y
2022-09-27,14.1,Y
2022-09-28,13.5,Y
2022-09-29,11.8,Y
2022-09-30,11.5,Y
2022-10-01,13.1,Y
2022-10-02,12.3,Y
2022-10-03,12.5,Y
2022-10-04,13.2,Y
2022-10-05,14.6,Y
2022-10-06,14.4,Y
2022-10-07,13.5,Y
2022-10-08,12.7,Y
2022-10-09,11.1,Y
2022-10-10,11.6,Y
2022-10-11,11.6,Y
2022-10-12,10.6,Y
2022-10-13,11.5,Y
2022-10-14,11.2,Y
2022-10-15,12.2,Y
2022-10-16,13.1,Y
2022-10-17,11.5,Y
2022-10-18,12.0,Y
2022-10-19,8.4,Y
2022-10-20,8.2,Y
2022-10-21,9.8,Y
2022-10-22,10.8,Y
2022-10-23,10.1,Y
2022-10-24,11.0,Y
2022-10-25,12.4,Y
2022-10-26,12.1,Y
2022-10-27,12.5,Y
