Datum,Lufttemperatur,Kvalitet
2022-01-01,-2.4,Y
2022-01-02,0.1,Y
2022-01-03,2.5,Y
2022-01-04,0.0,Y
2022-01-05,-3.5,Y
2022-01-06,-8.1,Y
2022-01-07,-10.7,Y
2022-01-08,-3.6,Y
2022-01-09,-2.2,Y
2022-01-10,-3.0,Y
2022-01-11,-2.4,Y
2022-01-12,1.2,Y
2022-01-13,5.8,Y
2022-01-14,3.0,Y
2022-01-15,-0.4,Y
2022-01-16,1.8,Y
2022-01-17,0.9,Y
2022-01-18,-1.2,Y
2022-01-19,3.1,Y
2022-01-20,-1.6,Y
2022-01-21,-3.5,Y
2022-01-22,-5.9,Y
2022-01-23,-2.3,Y
2022-01-24,1.1,Y
2022-01-25,-3.7,Y
2022-01-26,-0.3,Y
2022-01-27,0.1,Y
2022-01-28,-1.2,Y
2022-01-29,2.5,Y
2022-01-30,0.2,Y
2022-01-31,-5.6,Y
2022-02-01,-7.8,Y
2022-02-02,-7.2,Y
2022-02-03,-5.8,Y
2022-02-04,1.3,Y
2022-02-05,-1.3,Y
2022-02-06,0.4,Y
2022-02-07,-2.1,Y
2022-02-08,2.0,Y
2022-02-09,1.8,Y
2022-02-10,1.3,Y
2022-02-11,-1.7,Y
2022-02-12,0.7,Y
2022-02-13,2.6,Y
2022-02-14,1.0,Y
2022-02-15,1.5,Y
2022-02-16,1.0,Y
2022-02-17,-0.6,Y
2022-02-18,-2.2,Y
2022-02-19,-1.1,Y
2022-02-20,-4.1,Y
2022-02-21,-1.5,Y
2022-02-22,-7.4,Y
2022-02-23,-3.7,Y
2022-02-24,2.9,Y
2022-02-25,0.7,Y
2022-02-26,-0.5,Y
2022-02-27,2.9,Y
2022-02-28,-0.7,Y
2022-03-01,-0.1,Y
2022-03-02,1.3,Y
2022-03-03,0.1,Y
2022-03-04,-3.5,Y
2022-03-05,-2.2,Y
2022-03-06,1.0,Y
2022-03-07,3.4,Y
2022-03-08,-1.2,Y
2022-03-09,-0.0,Y
2022-03-10,0.8,Y
2022-03-11,0.2,Y
2022-03-12,-0.7,Y
2022-03-13,0.0,Y
2022-03-14,0.9,Y
2022-03-15,-0.7,Y
2022-03-16,0.5,Y
2022-03-17,0.2,Y
2022-03-18,4.1,Y
2022-03-19,3.5,Y
2022-03-20,5.1,Y
2022-03-21,3.0,Y
2022-03-22,2.8,Y
2022-03-23,6.1,Y
2022-03-24,5.9,Y
2022-03-25,6.9,Y
2022-03-26,4.7,Y
2022-03-27,3.2,Y
2022-03-28,7.0,Y
2022-03-29,-1.5,Y
2022-03-30,-2.1,Y
2022-03-31,-2.1,Y
2022-04-01,-1.4,Y
2022-04-02,-1.3,Y
2022-04-03,1.8,Y
2022-04-04,0.1,Y
2022-04-05,-2.0,Y
2022-04-06,0.1,Y
2022-04-07,-1.0,Y
2022-04-08,-1.3,Y
2022-04-09,-1.9,Y
2022-04-10,3.7,Y
2022-04-11,3.9,Y
2022-04-12,3.0,Y
2022-04-13,2.5,Y
2022-04-14,3.0,Y
2022-04-15,4.1,Y
2022-04-16,6.2,Y
2022-04-17,8.9,Y
2022-04-18,10.6,Y
2022-04-19,9.6,Y
2022-04-20,8.6,Y
2022-04-21,9.1,Y
2022-04-22,7.3,Y
2022-04-23,6.4,Y
2022-04-24,5.0,Y
2022-04-25,7.5,Y
2022-04-26,6.5,Y
2022-04-27,4.1,Y
2022-04-28,6.2,Y
2022-04-29,5.7,Y
2022-04-30,5.9,Y
2022-05-01,8.5,Y
2022-05-02,9.3,Y
2022-05-03,6.5,Y
2022-05-04,6.7,Y
2022-05-05,9.8,Y
2022-05-06,11.6,Y
2022-05-07,10.4,Y
2022-05-08,6.9,Y
2022-05-09,9.9,Y
2022-05-10,11.6,Y
2022-05-11,10.3,Y
2022-05-12,11.7,Y
2022-05-13,11.1,Y
2022-05-14,12.1,Y
2022-05-15,10.5,Y
2022-05-16,9.3,Y
2022-05-17,9.1,Y
2022-05-18,13.0,Y
2022-05-19,13.6,Y
2022-05-20,11.2,Y
2022-05-21,9.6,Y
2022-05-22,11.4,Y
2022-05-23,12.7,Y
