Datum,Lufttemperatur,Kvalitet
2022-01-01,-2.8,Y
2022-01-02,-1.1,Y
2022-01-03,1.4,Y
2022-01-04,-1.5,Y
2022-01-05,-4.5,Y
2022-01-06,-12.9,Y
2022-01-07,-13.3,Y
2022-01-08,-5.2,Y
2022-01-09,-3.2,Y
2022-01-10,-3.6,Y
2022-01-11,-0.9,Y
2022-01-12,1.5,Y
2022-01-13,6.0,Y
2022-01-14,2.3,Y
2022-01-15,-1.0,Y
2022-01-16,0.5,Y
2022-01-17,0.1,Y
2022-01-18,-1.8,Y
2022-01-19,1.9,Y
2022-01-20,-1.7,Y
2022-01-21,-4.4,Y
2022-01-22,-7.4,Y
2022-01-23,-4.3,Y
2022-01-24,-1.2,Y
2022-01-25,-7.4,Y
2022-01-26,-1.5,Y
2022-01-27,-0.7,Y
2022-01-28,-1.4,Y
2022-01-29,2.4,Y
2022-01-30,-0.1,Y
2022-01-31,-9.2,Y
2022-02-01,-8.6,Y
2022-02-02,-8.1,Y
2022-02-03,-7.2,Y
2022-02-04,-0.1,Y
2022-02-05,-3.1,Y
2022-02-06,-0.9,Y
2022-02-07,-5.6,Y
2022-02-08,0.0,Y
2022-02-09,1.1,Y
2022-02-10,-1.7,Y
2022-02-11,-5.3,Y
2022-02-12,0.5,Y
2022-02-13,3.1,Y
2022-02-14,0.6,Y
2022-02-15,0.6,Y
2022-02-16,0.5,Y
2022-02-17,-2.1,Y
2022-02-18,-5.4,Y
2022-02-19,-4.7,Y
2022-02-20,-6.6,Y
2022-02-21,-2.5,Y
2022-02-22,-6.2,Y
2022-02-23,-1.7,Y
2022-02-24,1.6,Y
2022-02-25,-2.5,Y
2022-02-26,-3.0,Y
2022-02-27,3.5,Y
2022-02-28,0.7,Y
2022-03-01,0.8,Y
2022-03-02,-0.3,Y
2022-03-03,-2.3,Y
2022-03-04,-4.3,Y
2022-03-05,-3.2,Y
2022-03-06,-2.1,Y
2022-03-07,1.4,Y
2022-03-08,-3.1,Y
2022-03-09,-2.0,Y
2022-03-10,0.5,Y
2022-03-11,2.2,Y
2022-03-12,-3.0,Y
2022-03-13,-1.4,Y
2022-03-14,-0.0,Y
2022-03-15,-0.6,Y
2022-03-16,0.6,Y
2022-03-17,-1.2,Y
2022-03-18,2.6,Y
2022-03-19,2.9,Y
2022-03-20,3.4,Y
2022-03-21,2.1,Y
2022-03-22,1.4,Y
2022-03-23,3.5,Y
2022-03-24,4.4,Y
2022-03-25,7.5,Y
2022-03-26,4.7,Y
2022-03-27,4.0,Y
2022-03-28,4.4,Y
2022-03-29,-2.2,Y
2022-03-30,-2.7,Y
2022-03-31,-2.8,Y
2022-04-01,-2.4,Y
2022-04-02,-2.4,Y
2022-04-03,0.7,Y
2022-04-04,-0.3,Y
2022-04-05,-2.3,Y
